"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-28022007-067680";"";
"DESIGN";"GUE cardanic DIN808";"";
"TraceParts.PartTitle";"GUE cardanic DIN808";"";
"TraceParts.InstanceId";"32-28022007-067680JHA2HX92DB50YX739C172EFG";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartStatusId";"";"";
"SUPPLIER";"SIT";"";
"TraceParts.PartVersion";"1.1.7";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.ClassPath";"SIT:32-28022007-067680";"";
