PotenciaA1iz,PotenciaA2iz,PotenciaA3iz,PotenciaC1iz,PotenciaC2iz,PotenciaC3iz,PotenciaB1iz,PotenciaB2iz,PotenciaB3iz,PotenciaA1de,PotenciaA2de,PotenciaA3de,PotenciaC1de,PotenciaC2de,PotenciaC3de,PotenciaB1de,PotenciaB2de,PotenciaB3de
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995502446998881,2.75974496934935,4.5684458621993,1.35151264959794,1.39115789342594,1.26810388183411,0.311183228049658,2.05775444603101,2.66846809134997,1.07981846069054,3.34662670834358,5.25759496090289,1.3777046795342,1.26744347211672,1.57309340488142,0.990783145063644,1.49916942655212,3.58635357543187
4.08125731978756,11.2296656150503,18.6419939124677,5.69168831318693,5.84405060309305,5.35348745412033,0.91856742644982,8.52683756479698,10.3736737428195,4.42678731515244,13.6390898058074,21.4122581932401,5.79727521162435,5.34481145580615,6.61061279655642,4.39183216931675,5.57322936678777,14.9807690406712
9.40639781621322,25.6958631171866,42.7738468634793,13.4455154525974,13.7746280437787,12.6743192386583,1.33336219662519,19.8511252181357,22.664510954162,10.2025265345266,31.2566524186603,49.039260176366,13.6849233311047,12.6413449417744,15.5856969910173,10.845202094471,11.58857961388,35.1335168008096
17.1204265956255,46.4453868201766,77.5183943043872,25.0299430673673,25.5914235959946,23.640778066743,1.06784069543959,36.4750940254863,39.0872442726752,18.5688890581508,56.5793848428093,88.7191778606336,25.4587789904244,23.5586181877215,28.9615008499345,20.9898296833685,18.9165467236737,64.9868902521317
27.3737027431278,73.7684142510568,123.43440500671,40.8520297227535,41.6938834365114,38.6533684306109,0.367084614004247,58.8473518527706,59.1797523214693,29.6886385959521,89.9908696249456,141.044352888107,41.5268968190327,38.4890194478147,47.1874322766289,35.4624910225203,26.9342591240387,105.473928776307
40.3121000058609,107.954375155785,181.069507090252,61.2934113210317,62.4574984733577,58.0876302521438,3.44966421376836,87.4113173235827,82.478457871489,43.7199254975439,131.870242618999,206.606165369755,62.2719558724938,57.8010277275773,70.6821229953047,54.8779330361367,35.0471480899755,157.484792232111
56.1061936974143,149.327226288949,251.051817630527,86.7680886813111,88.290289712431,82.3510843280363,8.71625372920575,122.669653760787,108.446584360924,60.8471151081696,182.641410426429,286.096409156142,88.1086971480549,81.8954789547276,99.8934807368651,79.9203778553763,42.6017941947751,221.999588645056
74.7914824180941,198.076070038767,333.609385193767,117.401800234381,119.318884171697,111.569339345832,16.4180386133039,164.869111330653,136.790305366335,81.1114778213911,242.524434018329,379.80054811134,119.162463944173,110.896802164151,134.943708721151,110.857071936832,49.3624347344538,299.364982124104
93.2783667907649,247.333151189147,416.315327080938,145.844047014851,148.282175016499,138.575556155038,20.2860015095747,205.785662367733,170.656602130321,101.163099365435,302.761220660434,474.30058802542,148.037124977872,137.764455510993,167.564532178068,137.917751615856,62.2850712603531,372.765867906982
111.846292309551,296.780968176198,499.341290152379,174.101424497687,177.08348984158,165.400612358393,24.3430398447002,246.971056397478,204.132560630333,121.301836909673,363.218783286888,569.357738018066,176.724517124412,164.463183661287,199.917193465678,165.113293459346,75.1950322353982,446.176246541778
130.37142098155,346.302256111225,582.325185053437,201.851237992051,205.410309033322,191.728575137553,28.3114540122059,288.191720651006,237.444912230171,141.395812648935,423.717523927665,664.628838387769,204.900437782036,190.683457871091,231.634295514695,192.034459062379,88.5170960839024,518.9693641048
148.893430904929,395.955664413473,665.39643922958,229.098802634898,233.271549045777,217.565053979577,32.2766533671465,329.543746263897,270.473076769559,161.487135846811,484.332038557012,760.293603138275,232.57018857318,216.431861805638,262.713778737025,218.775008474168,102.179017731283,591.24854033515
167.397363842173,445.741495702953,748.521799144633,255.743244370653,260.570886321459,242.811184899167,36.2072971511706,371.016616772138,303.211865855218,181.560155031836,545.056600134514,856.358142919203,259.632134538766,241.611663679862,293.039972718554,245.265431003474,116.266742502662,662.878989473698
185.886422523528,495.680131469146,831.719365785466,281.716315581706,287.245098671322,267.40168823072,40.1084574604438,412.633111187124,335.621520699776,201.619140620045,605.910040493832,952.87988168452,286.017763253622,266.157615671609,322.534466955749,271.488619457564,130.816686082671,733.804893887423
204.358061130816,545.781015034897,914.990350548117,306.939178653008,313.218635258978,291.259855367985,43.9742075141187,454.405078109909,367.675136452643,221.658333518948,666.900183253012,1049.9000777471,311.647413342087,289.993838199033,351.106717869441,297.409870380837,145.875688284582,803.947349409599
222.810641339015,596.058132262767,998.340452390952,331.334572041233,338.418928708941,314.311768814371,47.8018074230386,496.347378749274,399.344275465449,241.67939247311,728.040277841846,1147.46401274104,336.443989462877,313.046331607494,378.672123634696,323.001475582878,161.487426444993,873.233940596263
