//              Time(s)       Moment[Z](Revolution:3)(N.mm) 
               0.00000      -532851.00000 
               0.00910      -552717.00000 
               0.01820      -572578.00000 
               0.02731      -592437.00000 
               0.03641      -612297.00000 
               0.04551      -632193.00000 
               0.05461      -652069.00000 
               0.06371      -672235.00000 
               0.07282      -691658.00000 
               0.08192      -691374.00000 
               0.09102      -691861.00000 
               0.10012      -692213.00000 
               0.10922      -692668.00000 
               0.11832      -693158.00000 
               0.12743      -693697.00000 
               0.13653      -694276.00000 
               0.14563      -694892.00000 
               0.15473      -695540.00000 
               0.16383      -696216.00000 
               0.17294      -696913.00000 
               0.18204      -697627.00000 
               0.19114      -698351.00000 
               0.20024      -699081.00000 
               0.20934      -699810.00000 
               0.21845      -700532.00000 
               0.22755      -701241.00000 
               0.23665      -701929.00000 
               0.24575      -702599.00000 
               0.25485      -703216.00000 
               0.26395      -703880.00000 
               0.27306      -704194.00000 
               0.28216      -705586.00000 
               0.29126      -702656.00000 
               0.30036      -679592.00000 
               0.30946      -658153.00000 
               0.31857      -635518.00000 
               0.32767      -612400.00000 
               0.33677      -588595.00000 
               0.34587      -564147.00000 
               0.35497      -539042.00000 
               0.36408      -513291.00000 
               0.37318      -486904.00000 
               0.38228      -459902.00000 
               0.39138      -432298.00000 
               0.40048      -404171.00000 
               0.40959      -375376.00000 
               0.41869      -346624.00000 
               0.42779      -315533.00000 
               0.43689      -291658.00000 
               0.44599      -287151.00000 
               0.45510      -279898.00000 
               0.46420      -273594.00000 
               0.47330      -267282.00000 
               0.48240      -261221.00000 
               0.49150      -255353.00000 
               0.50060      -249703.00000 
               0.50971      -244271.00000 
               0.51881      -239067.00000 
               0.52791      -234096.00000 
               0.53701      -229366.00000 
               0.54611      -224880.00000 
               0.55522      -220647.00000 
               0.56432      -216670.00000 
               0.57342      -212955.00000 
               0.58252      -209506.00000 
               0.59162      -206328.00000 
               0.60073      -203428.00000 
               0.60983      -200793.00000 
               0.61893      -198495.00000 
               0.62803      -196274.00000 
               0.63713      -195117.00000 
               0.64624      -191365.00000 
               0.65534      -200841.00000 
               0.66444      -226738.00000 
               0.67354      -249678.00000 
               0.68264      -273721.00000 
               0.69175      -297574.00000 
               0.70085      -322045.00000 
               0.70995      -344917.00000 
               0.71905      -374005.00000 
               0.72815      -374008.00000 
               0.73725      -344927.00000 
               0.74636      -322061.00000 
               0.75546      -297597.00000 
               0.76456      -273751.00000 
               0.77366      -249714.00000 
               0.78276      -226781.00000 
               0.79187      -200889.00000 
               0.80097      -191419.00000 
               0.81007      -195175.00000 
               0.81917      -196335.00000 
               0.82827      -198559.00000 
               0.83737      -200857.00000 
               0.84648      -203492.00000 
               0.85558      -206388.00000 
               0.86468      -209562.00000 
               0.87378      -213006.00000 
               0.88289      -216716.00000 
               0.89199      -220686.00000 
               0.90109      -224914.00000 
               0.91019      -229393.00000 
               0.91929      -234118.00000 
               0.92839      -239083.00000 
               0.93750      -244282.00000 
               0.94660      -249710.00000 
               0.95570      -255357.00000 
               0.96480      -261222.00000 
               0.97390      -267280.00000 
               0.98301      -273591.00000 
               0.99211      -279893.00000 
               1.00121      -287145.00000 
               1.01031      -291652.00000 
               1.01941      -315527.00000 
               1.02851      -346618.00000 
               1.03762      -375370.00000 
               1.04672      -404165.00000 
               1.05582      -432292.00000 
               1.06492      -459897.00000 
               1.07402      -486899.00000 
               1.08313      -513287.00000 
               1.09223      -539038.00000 
               1.10133      -564143.00000 
               1.11043      -588592.00000 
               1.11953      -612397.00000 
               1.12864      -635516.00000 
               1.13774      -658151.00000 
               1.14684      -679590.00000 
               1.15594      -702654.00000 
               1.16504      -705585.00000 
               1.17415      -704193.00000 
               1.18325      -703879.00000 
               1.19235      -703215.00000 
               1.20145      -702599.00000 
               1.21055      -701929.00000 
               1.21965      -701240.00000 
               1.22876      -700531.00000 
               1.23786      -699810.00000 
               1.24696      -699081.00000 
               1.25606      -698351.00000 
               1.26516      -697627.00000 
               1.27427      -696913.00000 
               1.28337      -696216.00000 
               1.29247      -695540.00000 
               1.30157      -694892.00000 
               1.31067      -694276.00000 
               1.31978      -693697.00000 
               1.32888      -693158.00000 
               1.33798      -692668.00000 
               1.34708      -692213.00000 
               1.35618      -691861.00000 
               1.36529      -691374.00000 
               1.37439      -691658.00000 
               1.38349      -672235.00000 
               1.39259      -652068.00000 
               1.40169      -632192.00000 
               1.41079      -612296.00000 
               1.41990      -592435.00000 
               1.42900      -572576.00000 
               1.43810      -552715.00000 
               1.44720      -532849.00000 
