//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000      -525642.00000 
               0.00402      -550915.00000 
               0.00803      -576181.00000 
               0.01205      -601453.00000 
               0.01606      -626736.00000 
               0.02008      -652067.00000 
               0.02410      -677372.00000 
               0.02811      -703004.00000 
               0.03213      -727759.00000 
               0.03614      -727479.00000 
               0.04016      -728102.00000 
               0.04418      -728578.00000 
               0.04819      -729173.00000 
               0.05221      -729811.00000 
               0.05622      -730501.00000 
               0.06024      -731229.00000 
               0.06426      -731988.00000 
               0.06827      -732767.00000 
               0.07229      -733553.00000 
               0.07630      -734335.00000 
               0.08032      -735099.00000 
               0.08434      -735831.00000 
               0.08835      -736514.00000 
               0.09237      -737132.00000 
               0.09638      -737667.00000 
               0.10040      -738101.00000 
               0.10442      -738410.00000 
               0.10843      -738582.00000 
               0.11245      -738557.00000 
               0.11646      -738445.00000 
               0.12048      -737729.00000 
               0.12450      -738140.00000 
               0.12851      -733079.00000 
               0.13253      -703734.00000 
               0.13654      -676802.00000 
               0.14056      -648964.00000 
               0.14458      -621141.00000 
               0.14859      -593159.00000 
               0.15261      -565139.00000 
               0.15663      -537134.00000 
               0.16064      -509221.00000 
               0.16466      -481477.00000 
               0.16867      -453984.00000 
               0.17269      -426817.00000 
               0.17671      -400091.00000 
               0.18072      -373747.00000 
               0.18474      -348446.00000 
               0.18875      -321809.00000 
               0.19277      -304794.00000 
               0.19679      -308114.00000 
               0.20080      -307802.00000 
               0.20482      -308698.00000 
               0.20883      -309375.00000 
               0.21285      -310241.00000 
               0.21687      -311168.00000 
               0.22088      -312184.00000 
               0.22490      -313268.00000 
               0.22891      -314415.00000 
               0.23293      -315613.00000 
               0.23695      -316851.00000 
               0.24096      -318116.00000 
               0.24498      -319396.00000 
               0.24899      -320678.00000 
               0.25301      -321948.00000 
               0.25703      -323192.00000 
               0.26104      -324396.00000 
               0.26506      -325546.00000 
               0.26908      -326621.00000 
               0.27309      -327650.00000 
               0.27711      -328436.00000 
               0.28112      -329715.00000 
               0.28514      -328511.00000 
               0.28915      -338387.00000 
               0.29317      -361521.00000 
               0.29719      -381597.00000 
               0.30120      -402390.00000 
               0.30522      -422812.00000 
               0.30923      -443661.00000 
               0.31325      -463105.00000 
               0.31727      -487841.00000 
               0.32128      -487841.00000 
               0.32530      -463105.00000 
               0.32932      -443661.00000 
               0.33333      -422812.00000 
               0.33735      -402390.00000 
               0.34136      -381597.00000 
               0.34538      -361520.00000 
               0.34940      -338386.00000 
               0.35341      -328510.00000 
               0.35743      -329714.00000 
               0.36144      -328435.00000 
               0.36546      -327648.00000 
               0.36948      -326619.00000 
               0.37349      -325545.00000 
               0.37751      -324394.00000 
               0.38152      -323191.00000 
               0.38554      -321947.00000 
               0.38956      -320677.00000 
               0.39357      -319395.00000 
               0.39759      -318114.00000 
               0.40160      -316849.00000 
               0.40562      -315611.00000 
               0.40964      -314413.00000 
               0.41365      -313266.00000 
               0.41767      -312182.00000 
               0.42168      -311166.00000 
               0.42570      -310239.00000 
               0.42972      -309373.00000 
               0.43373      -308696.00000 
               0.43775      -307801.00000 
               0.44177      -308112.00000 
               0.44578      -304792.00000 
               0.44980      -321807.00000 
               0.45381      -348444.00000 
               0.45783      -373745.00000 
               0.46185      -400089.00000 
               0.46586      -426815.00000 
               0.46988      -453982.00000 
               0.47389      -481475.00000 
               0.47791      -509219.00000 
               0.48192      -537132.00000 
               0.48594      -565137.00000 
               0.48996      -593156.00000 
               0.49397      -621139.00000 
               0.49799      -648961.00000 
               0.50201      -676798.00000 
               0.50602      -703730.00000 
               0.51004      -733075.00000 
               0.51405      -738136.00000 
               0.51807      -737724.00000 
               0.52209      -738440.00000 
               0.52610      -738553.00000 
               0.53012      -738578.00000 
               0.53413      -738405.00000 
               0.53815      -738096.00000 
               0.54217      -737662.00000 
               0.54618      -737126.00000 
               0.55020      -736508.00000 
               0.55421      -735825.00000 
               0.55823      -735094.00000 
               0.56225      -734330.00000 
               0.56626      -733548.00000 
               0.57028      -732761.00000 
               0.57429      -731982.00000 
               0.57831      -731223.00000 
               0.58233      -730495.00000 
               0.58634      -729805.00000 
               0.59036      -729167.00000 
               0.59437      -728572.00000 
               0.59839      -728096.00000 
               0.60241      -727473.00000 
               0.60642      -727754.00000 
               0.61044      -702999.00000 
               0.61445      -677368.00000 
               0.61847      -652062.00000 
               0.62249      -626732.00000 
               0.62650      -601450.00000 
               0.63052      -576179.00000 
               0.63453      -550913.00000 
               0.63855      -525641.00000 
