//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000       870409.00000 
               0.00910       910783.00000 
               0.01820       951132.00000 
               0.02731       991423.00000 
               0.03641       1031600.00000 
               0.04551       1071650.00000 
               0.05461       1111340.00000 
               0.06371       1151210.00000 
               0.07282       1188920.00000 
               0.08192       1186220.00000 
               0.09102       1184660.00000 
               0.10012       1182360.00000 
               0.10922       1179830.00000 
               0.11832       1176930.00000 
               0.12743       1173700.00000 
               0.13653       1170130.00000 
               0.14563       1166220.00000 
               0.15473       1161970.00000 
               0.16383       1157380.00000 
               0.17294       1152440.00000 
               0.18204       1147170.00000 
               0.19114       1141550.00000 
               0.20024       1135590.00000 
               0.20934       1129290.00000 
               0.21845       1122640.00000 
               0.22755       1115650.00000 
               0.23665       1108310.00000 
               0.24575       1100630.00000 
               0.25485       1092570.00000 
               0.26395       1084300.00000 
               0.27306       1075170.00000 
               0.28216       1067580.00000 
               0.29126       1052370.00000 
               0.30036       1005380.00000 
               0.30946       963147.00000 
               0.31857       920912.00000 
               0.32767       880061.00000 
               0.33677       840341.00000 
               0.34587       801916.00000 
               0.35497       764826.00000 
               0.36408       729129.00000 
               0.37318       694861.00000 
               0.38228       662053.00000 
               0.39138       630702.00000 
               0.40048       600863.00000 
               0.40959       572306.00000 
               0.41869       545788.00000 
               0.42779       518369.00000 
               0.43689       501320.00000 
               0.44599       507184.00000 
               0.45510       509466.00000 
               0.46420       512639.00000 
               0.47330       515513.00000 
               0.48240       518392.00000 
               0.49150       521187.00000 
               0.50060       523910.00000 
               0.50971       526550.00000 
               0.51881       529101.00000 
               0.52791       531556.00000 
               0.53701       533908.00000 
               0.54611       536153.00000 
               0.55522       538285.00000 
               0.56432       540297.00000 
               0.57342       542187.00000 
               0.58252       543949.00000 
               0.59162       545577.00000 
               0.60073       547074.00000 
               0.60983       548419.00000 
               0.61893       549668.00000 
               0.62803       550598.00000 
               0.63713       552030.00000 
               0.64624       550898.00000 
               0.65534       560430.00000 
               0.66444       583134.00000 
               0.67354       602914.00000 
               0.68264       623289.00000 
               0.69175       643282.00000 
               0.70085       663646.00000 
               0.70995       682611.00000 
               0.71905       706689.00000 
               0.72815       706690.00000 
               0.73725       682614.00000 
               0.74636       663652.00000 
               0.75546       643290.00000 
               0.76456       623299.00000 
               0.77366       602925.00000 
               0.78276       583146.00000 
               0.79187       560443.00000 
               0.80097       550911.00000 
               0.81007       552043.00000 
               0.81917       550609.00000 
               0.82827       549679.00000 
               0.83737       548428.00000 
               0.84648       547082.00000 
               0.85558       545584.00000 
               0.86468       543954.00000 
               0.87378       542191.00000 
               0.88289       540301.00000 
               0.89199       538287.00000 
               0.90109       536155.00000 
               0.91019       533909.00000 
               0.91929       531556.00000 
               0.92839       529101.00000 
               0.93750       526550.00000 
               0.94660       523909.00000 
               0.95570       521186.00000 
               0.96480       518391.00000 
               0.97390       515512.00000 
               0.98301       512638.00000 
               0.99211       509465.00000 
               1.00121       507183.00000 
               1.01031       501318.00000 
               1.01941       518367.00000 
               1.02851       545786.00000 
               1.03762       572304.00000 
               1.04672       600860.00000 
               1.05582       630698.00000 
               1.06492       662049.00000 
               1.07402       694857.00000 
               1.08313       729124.00000 
               1.09223       764821.00000 
               1.10133       801911.00000 
               1.11043       840336.00000 
               1.11953       880056.00000 
               1.12864       920907.00000 
               1.13774       963144.00000 
               1.14684       1005380.00000 
               1.15594       1052370.00000 
               1.16504       1067580.00000 
               1.17415       1075180.00000 
               1.18325       1084310.00000 
               1.19235       1092590.00000 
               1.20145       1100660.00000 
               1.21055       1108340.00000 
               1.21965       1115690.00000 
               1.22876       1122690.00000 
               1.23786       1129340.00000 
               1.24696       1135660.00000 
               1.25606       1141630.00000 
               1.26516       1147250.00000 
               1.27427       1152540.00000 
               1.28337       1157470.00000 
               1.29247       1162070.00000 
               1.30157       1166330.00000 
               1.31067       1170240.00000 
               1.31978       1173810.00000 
               1.32888       1177030.00000 
               1.33798       1179930.00000 
               1.34708       1182450.00000 
               1.35618       1184740.00000 
               1.36529       1186290.00000 
               1.37439       1188980.00000 
               1.38349       1151260.00000 
               1.39259       1111390.00000 
               1.40169       1071680.00000 
               1.41079       1031620.00000 
               1.41990       991440.00000 
               1.42900       951143.00000 
               1.43810       910789.00000 
               1.44720       870410.00000 
