//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000       154233.00000 
               0.00402       164061.00000 
               0.00803       173907.00000 
               0.01205       183777.00000 
               0.01606       193671.00000 
               0.02008       203606.00000 
               0.02410       213534.00000 
               0.02811       223659.00000 
               0.03213       233208.00000 
               0.03614       232940.00000 
               0.04016       233197.00000 
               0.04418       233339.00000 
               0.04819       233546.00000 
               0.05221       233766.00000 
               0.05622       234014.00000 
               0.06024       234284.00000 
               0.06426       234577.00000 
               0.06827       234892.00000 
               0.07229       235227.00000 
               0.07630       235581.00000 
               0.08032       235954.00000 
               0.08434       236343.00000 
               0.08835       236749.00000 
               0.09237       237168.00000 
               0.09638       237599.00000 
               0.10040       238041.00000 
               0.10442       238492.00000 
               0.10843       238949.00000 
               0.11245       239408.00000 
               0.11646       239890.00000 
               0.12048       240252.00000 
               0.12450       241194.00000 
               0.12851       239328.00000 
               0.13253       228305.00000 
               0.13654       218981.00000 
               0.14056       209109.00000 
               0.14458       199386.00000 
               0.14859       189594.00000 
               0.15261       179795.00000 
               0.15663       169968.00000 
               0.16064       160117.00000 
               0.16466       150240.00000 
               0.16867       140338.00000 
               0.17269       130406.00000 
               0.17671       120460.00000 
               0.18072       110436.00000 
               0.18474       100598.00000 
               0.18875       89902.70000  
               0.19277       82692.00000  
               0.19679       83997.10000  
               0.20080       83852.50000  
               0.20482       84085.70000  
               0.20883       84197.50000  
               0.21285       84324.10000  
               0.21687       84430.30000  
               0.22088       84526.50000  
               0.22490       84611.30000  
               0.22891       84686.00000  
               0.23293       84751.30000  
               0.23695       84808.10000  
               0.24096       84857.20000  
               0.24498       84899.30000  
               0.24899       84935.20000  
               0.25301       84965.40000  
               0.25703       84990.80000  
               0.26104       85011.30000  
               0.26506       85030.10000  
               0.26908       85038.30000  
               0.27309       85070.10000  
               0.27711       85004.50000  
               0.28112       85280.20000  
               0.28514       84309.20000  
               0.28915       88790.50000  
               0.29317       100152.00000 
               0.29719       110160.00000 
               0.30120       120525.00000 
               0.30522       130739.00000 
               0.30923       141160.00000 
               0.31325       150867.00000 
               0.31727       163182.00000 
               0.32128       163182.00000 
               0.32530       150867.00000 
               0.32932       141160.00000 
               0.33333       130739.00000 
               0.33735       120525.00000 
               0.34136       110160.00000 
               0.34538       100152.00000 
               0.34940       88790.50000  
               0.35341       84309.20000  
               0.35743       85280.20000  
               0.36144       85004.50000  
               0.36546       85070.10000  
               0.36948       85038.30000  
               0.37349       85030.10000  
               0.37751       85011.30000  
               0.38152       84990.80000  
               0.38554       84965.40000  
               0.38956       84935.20000  
               0.39357       84899.30000  
               0.39759       84857.20000  
               0.40160       84808.10000  
               0.40562       84751.30000  
               0.40964       84686.00000  
               0.41365       84611.30000  
               0.41767       84526.50000  
               0.42168       84430.30000  
               0.42570       84324.10000  
               0.42972       84197.50000  
               0.43373       84085.70000  
               0.43775       83852.50000  
               0.44177       83997.10000  
               0.44578       82692.00000  
               0.44980       89902.70000  
               0.45381       100598.00000 
               0.45783       110436.00000 
               0.46185       120460.00000 
               0.46586       130406.00000 
               0.46988       140338.00000 
               0.47389       150240.00000 
               0.47791       160117.00000 
               0.48192       169968.00000 
               0.48594       179795.00000 
               0.48996       189594.00000 
               0.49397       199386.00000 
               0.49799       209109.00000 
               0.50201       218981.00000 
               0.50602       228305.00000 
               0.51004       239328.00000 
               0.51405       241194.00000 
               0.51807       240252.00000 
               0.52209       239890.00000 
               0.52610       239408.00000 
               0.53012       238949.00000 
               0.53413       238492.00000 
               0.53815       238041.00000 
               0.54217       237599.00000 
               0.54618       237168.00000 
               0.55020       236749.00000 
               0.55421       236343.00000 
               0.55823       235954.00000 
               0.56225       235581.00000 
               0.56626       235227.00000 
               0.57028       234892.00000 
               0.57429       234577.00000 
               0.57831       234284.00000 
               0.58233       234014.00000 
               0.58634       233766.00000 
               0.59036       233546.00000 
               0.59437       233339.00000 
               0.59839       233197.00000 
               0.60241       232940.00000 
               0.60642       233208.00000 
               0.61044       223658.00000 
               0.61445       213534.00000 
               0.61847       203606.00000 
               0.62249       193671.00000 
               0.62650       183777.00000 
               0.63052       173907.00000 
               0.63453       164060.00000 
               0.63855       154233.00000 
