//              Time(s)       Moment[Z](Revolution:3)(N.mm) 
               0.00000      -382254.00000 
               0.00635      -388977.00000 
               0.01270      -395709.00000 
               0.01905      -402465.00000 
               0.02540      -409265.00000 
               0.03175      -416136.00000 
               0.03810      -423083.00000 
               0.04445      -430215.00000 
               0.05080      -437270.00000 
               0.05715      -437784.00000 
               0.06350      -438647.00000 
               0.06985      -439601.00000 
               0.07620      -440711.00000 
               0.08255      -441955.00000 
               0.08890      -443337.00000 
               0.09525      -444850.00000 
               0.10160      -446492.00000 
               0.10795      -448259.00000 
               0.11430      -450145.00000 
               0.12065      -452147.00000 
               0.12700      -454260.00000 
               0.13335      -456477.00000 
               0.13970      -458793.00000 
               0.14605      -461201.00000 
               0.15240      -463696.00000 
               0.15875      -466270.00000 
               0.16510      -468915.00000 
               0.17145      -471627.00000 
               0.17780      -474384.00000 
               0.18415      -477221.00000 
               0.19050      -479977.00000 
               0.19685      -483172.00000 
               0.20320      -484888.00000 
               0.20955      -479058.00000 
               0.21590      -473728.00000 
               0.22225      -467964.00000 
               0.22860      -461988.00000 
               0.23495      -455740.00000 
               0.24130      -449239.00000 
               0.24765      -442488.00000 
               0.25400      -435500.00000 
               0.26035      -428291.00000 
               0.26670      -420881.00000 
               0.27305      -413289.00000 
               0.27940      -405554.00000 
               0.28575      -397649.00000 
               0.29210      -389823.00000 
               0.29845      -381209.00000 
               0.30480      -375734.00000 
               0.31115      -377601.00000 
               0.31750      -378169.00000 
               0.32385      -379135.00000 
               0.33020      -380004.00000 
               0.33655      -380917.00000 
               0.34290      -381832.00000 
               0.34925      -382758.00000 
               0.35560      -383688.00000 
               0.36195      -384620.00000 
               0.36829      -385551.00000 
               0.37465      -386475.00000 
               0.38099      -387389.00000 
               0.38734      -388286.00000 
               0.39370      -389163.00000 
               0.40004      -390012.00000 
               0.40640      -390828.00000 
               0.41274      -391605.00000 
               0.41909      -392337.00000 
               0.42545      -393014.00000 
               0.43179      -393649.00000 
               0.43815      -394156.00000 
               0.44449      -394853.00000 
               0.45084      -394459.00000 
               0.45719      -398776.00000 
               0.46354      -408796.00000 
               0.46989      -417517.00000 
               0.47624      -426534.00000 
               0.48259      -435378.00000 
               0.48894      -444386.00000 
               0.49529      -452771.00000 
               0.50164      -463418.00000 
               0.50799      -463418.00000 
               0.51434      -452771.00000 
               0.52069      -444385.00000 
               0.52704      -435376.00000 
               0.53339      -426532.00000 
               0.53974      -417514.00000 
               0.54609      -408792.00000 
               0.55244      -398771.00000 
               0.55879      -394454.00000 
               0.56514      -394847.00000 
               0.57149      -394150.00000 
               0.57784      -393642.00000 
               0.58419      -393007.00000 
               0.59054      -392329.00000 
               0.59689      -391597.00000 
               0.60324      -390820.00000 
               0.60959      -390003.00000 
               0.61594      -389154.00000 
               0.62229      -388277.00000 
               0.62864      -387380.00000 
               0.63499      -386466.00000 
               0.64134      -385542.00000 
               0.64769      -384612.00000 
               0.65404      -383680.00000 
               0.66039      -382751.00000 
               0.66674      -381826.00000 
               0.67309      -380912.00000 
               0.67944      -379999.00000 
               0.68579      -379132.00000 
               0.69214      -378168.00000 
               0.69849      -377601.00000 
               0.70484      -375736.00000 
               0.71119      -381213.00000 
               0.71754      -389829.00000 
               0.72389      -397659.00000 
               0.73024      -405567.00000 
               0.73659      -413305.00000 
               0.74294      -420900.00000 
               0.74929      -428314.00000 
               0.75564      -435527.00000 
               0.76199      -442518.00000 
               0.76834      -449273.00000 
               0.77469      -455779.00000 
               0.78104      -462031.00000 
               0.78739      -468011.00000 
               0.79374      -473779.00000 
               0.80009      -479114.00000 
               0.80644      -484948.00000 
               0.81279      -483235.00000 
               0.81914      -480043.00000 
               0.82549      -477290.00000 
               0.83184      -474454.00000 
               0.83819      -471699.00000 
               0.84454      -468984.00000 
               0.85089      -466339.00000 
               0.85724      -463765.00000 
               0.86359      -461271.00000 
               0.86994      -458862.00000 
               0.87629      -456545.00000 
               0.88264      -454327.00000 
               0.88899      -452214.00000 
               0.89534      -450210.00000 
               0.90169      -448322.00000 
               0.90804      -446553.00000 
               0.91439      -444909.00000 
               0.92074      -443394.00000 
               0.92709      -442010.00000 
               0.93344      -440763.00000 
               0.93979      -439651.00000 
               0.94614      -438694.00000 
               0.95249      -437829.00000 
               0.95884      -437312.00000 
               0.96519      -430253.00000 
               0.97154      -423116.00000 
               0.97789      -416166.00000 
               0.98424      -409291.00000 
               0.99059      -402487.00000 
               0.99694      -395727.00000 
               1.00329      -388992.00000 
               1.00964      -382264.00000 
