//              Time(s)       Moment[Z](Revolution:3)(N.mm) 
               0.00000       142186.00000 
               0.00635       145814.00000 
               0.01270       149452.00000 
               0.01905       153101.00000 
               0.02540       156765.00000 
               0.03175       160451.00000 
               0.03810       164143.00000 
               0.04445       167919.00000 
               0.05080       171488.00000 
               0.05715       171444.00000 
               0.06350       171610.00000 
               0.06985       171745.00000 
               0.07620       171916.00000 
               0.08255       172104.00000 
               0.08890       172314.00000 
               0.09525       172544.00000 
               0.10160       172793.00000 
               0.10795       173060.00000 
               0.11430       173345.00000 
               0.12065       173647.00000 
               0.12700       173965.00000 
               0.13335       174299.00000 
               0.13970       174646.00000 
               0.14605       175006.00000 
               0.15240       175378.00000 
               0.15875       175759.00000 
               0.16510       176150.00000 
               0.17145       176548.00000 
               0.17780       176951.00000 
               0.18415       177365.00000 
               0.19050       177738.00000 
               0.19685       178328.00000 
               0.20320       177861.00000 
               0.20955       174027.00000 
               0.21590       170835.00000 
               0.22225       167432.00000 
               0.22860       164080.00000 
               0.23495       160696.00000 
               0.24130       157301.00000 
               0.24765       153886.00000 
               0.25400       150451.00000 
               0.26035       146994.00000 
               0.26670       143514.00000 
               0.27305       140010.00000 
               0.27940       136486.00000 
               0.28575       132919.00000 
               0.29210       129404.00000 
               0.29845       125560.00000 
               0.30480       122987.00000 
               0.31115       123533.00000 
               0.31750       123530.00000 
               0.32385       123656.00000 
               0.33020       123726.00000 
               0.33655       123792.00000 
               0.34290       123842.00000 
               0.34925       123880.00000 
               0.35560       123907.00000 
               0.36195       123925.00000 
               0.36829       123935.00000 
               0.37465       123937.00000 
               0.38099       123933.00000 
               0.38734       123924.00000 
               0.39370       123911.00000 
               0.40004       123894.00000 
               0.40640       123875.00000 
               0.41274       123855.00000 
               0.41909       123834.00000 
               0.42545       123811.00000 
               0.43179       123798.00000 
               0.43815       123752.00000 
               0.44449       123834.00000 
               0.45084       123459.00000 
               0.45719       125093.00000 
               0.46354       129268.00000 
               0.46989       132947.00000 
               0.47624       136759.00000 
               0.48259       140518.00000 
               0.48894       144354.00000 
               0.49529       147928.00000 
               0.50164       152463.00000 
               0.50799       152463.00000 
               0.51434       147928.00000 
               0.52069       144354.00000 
               0.52704       140518.00000 
               0.53339       136759.00000 
               0.53974       132947.00000 
               0.54609       129268.00000 
               0.55244       125093.00000 
               0.55879       123459.00000 
               0.56514       123834.00000 
               0.57149       123752.00000 
               0.57784       123798.00000 
               0.58419       123811.00000 
               0.59054       123834.00000 
               0.59689       123855.00000 
               0.60324       123875.00000 
               0.60959       123894.00000 
               0.61594       123911.00000 
               0.62229       123924.00000 
               0.62864       123933.00000 
               0.63499       123937.00000 
               0.64134       123935.00000 
               0.64769       123925.00000 
               0.65404       123907.00000 
               0.66039       123880.00000 
               0.66674       123842.00000 
               0.67309       123792.00000 
               0.67944       123726.00000 
               0.68579       123656.00000 
               0.69214       123530.00000 
               0.69849       123533.00000 
               0.70484       122987.00000 
               0.71119       125560.00000 
               0.71754       129404.00000 
               0.72389       132919.00000 
               0.73024       136486.00000 
               0.73659       140010.00000 
               0.74294       143514.00000 
               0.74929       146994.00000 
               0.75564       150451.00000 
               0.76199       153886.00000 
               0.76834       157301.00000 
               0.77469       160696.00000 
               0.78104       164080.00000 
               0.78739       167432.00000 
               0.79374       170835.00000 
               0.80009       174027.00000 
               0.80644       177861.00000 
               0.81279       178328.00000 
               0.81914       177738.00000 
               0.82549       177365.00000 
               0.83184       176951.00000 
               0.83819       176548.00000 
               0.84454       176150.00000 
               0.85089       175759.00000 
               0.85724       175378.00000 
               0.86359       175006.00000 
               0.86994       174646.00000 
               0.87629       174299.00000 
               0.88264       173965.00000 
               0.88899       173647.00000 
               0.89534       173345.00000 
               0.90169       173060.00000 
               0.90804       172793.00000 
               0.91439       172544.00000 
               0.92074       172314.00000 
               0.92709       172105.00000 
               0.93344       171916.00000 
               0.93979       171745.00000 
               0.94614       171610.00000 
               0.95249       171444.00000 
               0.95884       171488.00000 
               0.96519       167919.00000 
               0.97154       164143.00000 
               0.97789       160451.00000 
               0.98424       156765.00000 
               0.99059       153101.00000 
               0.99694       149452.00000 
               1.00329       145814.00000 
               1.00964       142186.00000 
