Time(s) Force(Spherical:5)-ArfadaCaso1.iaa(N) Force[X](Spherical:5)-ArfadaCaso1.iaa(N) Force[Y](Spherical:5)-ArfadaCaso1.iaa(N) Force[Z](Spherical:5)-ArfadaCaso1.iaa(N) Moment(Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Z](Spherical:5)-ArfadaCaso1.iaa(N.mm) 
0.20883 388.30200 1.47639 0.60463 -388.29916 0.00000 0.00000 -0.00000 -0.00000 
0.21285 388.94400 -2.35898 0.60562 -388.93640 0.00000 0.00000 0.00000 -0.00000 
0.21687 389.52500 -6.05344 0.60652 -389.47733 0.00001 -0.00000 0.00000 -0.00000 
0.22088 390.08900 -9.60375 0.60740 -389.97039 0.00000 0.00000 0.00000 -0.00000 
0.22490 390.62500 -13.00658 0.60823 -390.40808 0.00000 -0.00000 0.00000 -0.00000 
0.22891 391.13600 -16.25894 0.60903 -390.79734 0.00000 -0.00000 -0.00000 0.00000 
0.23293 391.62000 -19.35787 0.60978 -391.14122 0.00000 0.00000 0.00000 -0.00000 
0.23695 392.07900 -22.30059 0.61050 -391.44363 0.00000 0.00000 0.00000 -0.00000 
0.24096 392.51100 -25.08446 0.61117 -391.70809 0.00000 0.00000 0.00000 -0.00000 
0.24498 392.91700 -27.70696 0.61180 -391.93803 0.00000 0.00000 -0.00000 0.00000 
0.24899 393.29600 -30.16574 0.61239 -392.13680 0.00000 0.00000 0.00000 -0.00000 
0.25301 393.64800 -32.45857 0.61294 -392.30725 0.00000 0.00000 -0.00000 0.00000 
0.25703 393.97500 -34.58347 0.61345 -392.45331 0.00000 0.00000 0.00000 -0.00000 
0.26104 394.27100 -36.53822 0.61392 -392.57429 0.00000 0.00000 0.00000 -0.00000 
0.26506 394.55100 -38.32221 0.61436 -392.68508 0.00000 0.00000 -0.00000 0.00000 
0.26908 394.76900 -39.92952 0.61470 -392.74422 0.00000 0.00000 0.00000 -0.00000 
0.27309 395.08400 -41.37478 0.61519 -392.91076 0.00000 0.00000 0.00000 -0.00000 
0.27711 394.92800 -42.59707 0.61495 -392.62386 0.00000 0.00000 0.00000 0.00000 
0.28112 396.34200 -43.81608 0.61716 -393.91165 0.00000 0.00000 0.00000 -0.00000 
0.28514 391.95100 -44.21342 0.61032 -389.44845 0.00000 0.00000 -0.00000 0.00000 
0.28915 412.78800 -47.29950 0.64278 -410.06833 0.00000 0.00000 0.00000 0.00000 
0.29317 465.52400 -53.96517 0.72493 -462.38504 0.00000 0.00000 0.00000 -0.00000 
0.29719 511.98600 -59.85524 0.79731 -508.47410 0.00000 0.00000 0.00000 -0.00000 
0.30120 560.08500 -65.85882 0.87223 -556.19847 0.00000 0.00000 0.00000 -0.00000 
0.30522 607.47300 -71.69250 0.94606 -603.22736 0.00000 0.00000 0.00000 0.00000 
0.30923 655.80200 -77.55090 1.02134 -651.19974 0.00000 0.00000 0.00000 -0.00000 
0.31325 700.81500 -82.94327 1.09147 -695.88905 0.00000 0.00000 0.00000 0.00000 
0.31727 757.90400 -89.70968 1.18040 -752.57541 0.00000 0.00000 0.00000 0.00000 
0.32128 757.90400 -89.70968 1.18041 -752.57541 0.00000 0.00000 0.00000 0.00000 
0.32530 700.81500 -82.94327 1.09150 -695.88905 0.00000 0.00000 0.00000 -0.00000 
0.32932 655.80200 -77.55090 1.02139 -651.19974 0.00000 0.00000 0.00000 0.00000 
0.33333 607.47300 -71.69250 0.94612 -603.22736 0.00000 0.00000 0.00000 -0.00000 
