//              Time(s)       Force(Revolution:3)-ArfadaCaso1.iaa(N) Force[X](Revolution:3)-ArfadaCaso1.iaa(N) Force[Y](Revolution:3)-ArfadaCaso1.iaa(N) Force[Z](Revolution:3)-ArfadaCaso1.iaa(N) Moment[Z](Revolution:3)-ArfadaCaso1.iaa(N.mm) Moment[Y](Revolution:3)-ArfadaCaso1.iaa(N.mm) Moment[X](Revolution:3)-ArfadaCaso1.iaa(N.mm) Moment(Revolution:3)-ArfadaCaso1.iaa(N.mm) 
               0,18875       415,03500     414,31722     24,39015      0,64608       82845,59712  -6004,55942    224,95488     83063,20000  
               0,19277       381,66900     381,24622     17,94442      0,59413       76231,42906  -5525,04603    141,91995     76431,50000  
               0,19679       387,58194     387,33532     13,81097      0,60333       77449,28530  -5613,34223    80,17990      77652,50000  
               0,20080       386,83900     386,72151     9,52378       0,60216       77326,55951  -5604,44833    18,28213      77529,40000  
               0,20482       387,89400     387,85574     5,42354       0,60380       77553,44154  -5620,90059   -41,46625      77756,90000  
               0,20883       388,42900     388,42569     1,44719       0,60463       77667,46719  -5629,17099   -99,25776      77871,30000  
               0,21285       389,07000     389,06267    -2,39030       0,60562       77794,89920  -5638,41337   -155,07107     77999,10000  
               0,21687       389,65100     389,60331    -6,08679       0,60652       77903,06258  -5646,25882   -208,82235     78107,70000  
               0,22088       390,21600     390,09606    -9,63905       0,60740       78001,64854  -5653,40993   -260,47831     78206,70000  
               0,22490       390,75200     390,53343    -13,04373      0,60823       78089,15823  -5659,75798   -309,98712     78294,60000  
               0,22891       391,26200     390,92237    -16,29783      0,60903       78166,97960  -5665,40361   -357,30617     78372,80000  
               0,23293       391,74700     391,26592    -19,39842      0,60978       78235,72382  -5670,39108   -402,39240     78442,00000  
               0,23695       392,20500     391,56800    -22,34271      0,61050       78296,17221  -5674,77703   -445,20553     78502,80000  
               0,24096       392,63800     391,83214    -25,12805      0,61117       78349,03157  -5678,61267   -485,70709     78556,10000  
               0,24498       393,04300     392,06176    -27,75193      0,61180       78394,98444  -5681,94748   -523,86068     78602,40000  
               0,24899       393,42200     392,26022    -30,21200      0,61239       78434,70499  -5684,83032   -559,63217     78642,40000  
               0,25301       393,77500     392,43037    -32,50603      0,61294       78468,76058  -5687,30229   -592,98902     78676,80000  
               0,25703       394,10100     392,57614    -34,63203      0,61345       78497,93996  -5689,42058   -623,90279     78706,30000  
               0,26104       394,39800     392,69685    -36,58779      0,61392       78522,10550  -5691,17518   -652,34015     78730,80000  
               0,26506       394,67800     392,80739    -38,37270      0,61436       78544,23414  -5692,78191   -678,29621     78753,20000  
               0,26908       394,89600     392,86629    -39,98084      0,61470       78556,03438  -5693,63964   -701,67132     78765,20000  
               0,27309       395,21000     393,03262    -41,42684      0,61519       78589,31908  -5696,05475   -722,72661     78798,80000  
               0,27711       395,05500     392,74550    -42,64977      0,61495       78531,90901  -5691,89438   -740,40256     78741,40000  
               0,28112       396,46800     394,03324    -43,86934      0,61716       78789,47151  -5710,56881   -758,51966     78999,80000  
               0,28514       392,07700     389,56945    -44,26714      0,61032       77896,72489  -5645,84737   -762,91431     78104,80000  
               0,28915       412,91600     410,19134    -47,35359      0,64278       82021,11359  -5944,86001   -814,15473     82240,30000  
               0,29317       465,65800     462,51332    -54,01953      0,72493       92485,51987  -6703,51376   -927,23662     92732,80000  
               0,29719       512,12400     508,60702    -59,90978      0,79731       101704,26914 -7371,85916   -1027,11767    101976,00000 
               0,30120       560,22800     556,33622    -65,91349      0,87223       111250,11693 -8063,91846   -1129,15501    111548,00000 
               0,30522       607,62100     603,36990    -71,74725      0,94606       120656,85774 -8745,89258   -1228,50778    120980,00000 
               0,30923       655,95500     651,34718    -77,60568      1,02134       130252,31951 -9441,54854   -1328,51189    130601,00000 
               0,31325       700,97290     696,04106    -82,99807      1,09147       139191,10001 -10089,59606  -1420,72613    139564,00000 
               0,31727       758,06800     752,73323    -89,76448      1,18040       150529,53796 -10911,61490  -1536,62609    150932,00000 
               0,32128       758,06800     752,73323    -89,76448      1,18041       150529,53803 -10911,61490  -1536,62811    150932,00000 
               0,32530       700,97290     696,04106    -82,99807      1,09150       139191,10017 -10089,59608  -1420,73183    139564,00000 
               0,32932       655,95500     651,34718    -77,60568      1,02139       130252,31973 -9441,54856   -1328,52092    130601,00000 
               0,33333       607,62100     603,36990    -71,74725      0,94612       120656,85797 -8745,89259   -1228,51969    120980,00000 
               0,33735       560,22800     556,33622    -65,91349      0,87231       111250,11713 -8063,91847   -1129,16942    111548,00000 
               0,34136       512,12400     508,60702    -59,90978      0,79739       101704,26925 -7371,85916   -1027,13416    101976,00000 
               0,34538       465,65800     462,51332    -54,01953      0,72502       92485,51987  -6703,51376   -927,25481     92732,80000  
               0,34940       412,91600     410,19134    -47,35359      0,64288       82021,11342  -5944,86000   -814,17401     82240,30000  
               0,35341       392,07700     389,56945    -44,26714      0,61043       77896,72461  -5645,84735   -762,93537     78104,80000  
               0,35743       396,46800     394,03324    -43,86934      0,61728       78789,47124  -5710,56879   -758,54334     78999,80000  
               0,36144       395,05500     392,74549    -42,64977      0,61508       78531,90874  -5691,89436   -740,42862     78741,40000  
               0,36546       395,21000     393,03262    -41,42684      0,61533       78589,31882  -5696,05473   -722,75510     78798,80000  
               0,36948       394,89600     392,86629    -39,98084      0,61485       78556,03414  -5693,63963   -701,70219     78765,20000  
