tiempo,angulosBalanceo,VelocidadAngularBalanceo,AceleracionAngularBalanceo
0,1.17252883701013,NaN,NaN
0.00647675131611702,1.17247971287561,-0.0227518829503958,-7.02368975958258
0.012953502632234,1.17213610705162,-0.0908857687235349,-14.0004570097805
0.019430253948351,1.17120577103789,-0.203755223810441,-20.8120492883995
0.0259070052644681,1.16940362371525,-0.359720260137431,-27.2726773204138
0.0323837565805851,1.16645946080038,-0.55577980052183,-33.1531307040035
0.0388605078967021,1.16212743393345,-0.787408472991894,-38.2193243592908
0.0453372592128191,1.15619570535241,-1.04867426527126,-42.2787606633029
0.0518140105289361,1.14849442017504,-1.33244090786951,-44.5809736923133
0.0582907618450531,1.13895789327494,-1.60796604431791,-40.4710782932029
0.0647675131611702,1.12772379236685,-1.85660650870928,-36.3229435320133
0.0712442644772872,1.11496535177554,-2.07887607355651,-32.3576117576457
0.0777210157934042,1.10084842662935,-2.27645093177227,-28.7142082788949
0.0841977671095212,1.08552560928305,-2.45167597846432,-25.4630087698789
0.0906745184256382,1.06913321486654,-2.60717856474562,-22.6241424906077
0.0971512697417552,1.05179037399317,-2.74560308223579,-20.185452049003
0.103628021057872,1.03359949323514,-2.86944996395449,-18.1166379773186
0.110104772373989,1.01464749158754,-2.98099247926015,-16.3791771049688
0.116581523690106,0.995007394575981,-3.08224559615167,-14.9326293121842
0.123058275006223,0.974740018098122,-3.17496652743101,-13.7382729578693
0.12953502632234,0.953895586419644,-3.26067258243249,-12.7609441780495
0.136011777638457,0.932515204802838,-3.34066699995979,-11.9697570524573
0.142488528954574,0.910632154916289,-3.41606714428707,-11.3381765120836
0.148965280270691,0.88827300890559,-3.48783193993982,-10.8437501246554
0.155442031586808,0.865458572728334,-3.55678699496456,-10.4676861037758
0.161918782902925,0.842204676081757,-3.62364680111107,-10.1943858121828
0.168395534219042,0.818522828333096,-3.6890339260006,-10.0109891319497
0.174872285535159,0.794420759426945,-3.75349538440081,-9.90696097457499
0.181349036851276,0.769902863078011,-3.8175164972659,-9.87372984722167
0.187825788167393,0.744970557406541,-3.88153258395985,-9.90437991574604
0.19430253948351,0.719622575945967,-3.94593882506075,-9.99339323659455
0.200779290799628,0.693855199854775,-4.0110986038575,-10.1364367738078
0.207256042115744,0.667663711459544,-4.07588237155848,-9.20250687243056
0.213732793431862,0.641089677870672,-4.12746189412095,-6.76350425305778
0.220209544747979,0.614231202459636,-4.16394092850725,-4.53194681271288
0.226686296064096,0.587182045256402,-4.18652133953931,-2.46492628753894
0.233163047380213,0.560029046757461,-4.19614338446087,-0.524526108954432
0.23963979869633,0.53285371964864,-4.19351704736872,1.32251161065769
0.246116550012447,0.505733645439303,-4.17915084215054,3.10521758074321
0.252593301328564,0.478743693830331,-4.15337773002076,4.84884479071866
0.259070052644681,0.451957083512993,-4.1163781977602,6.575290408984
0.265546803960798,0.425446302017065,-4.06820075963841,8.30346693435149
0.272023555276915,0.399283900145402,-4.00878024787589,10.0496131855202
0.278500306593032,0.373543174036896,-3.93795428848615,11.8275439395659
0.284977057909149,0.348298745342526,-3.85547835021245,13.6488417795129
0.291453809225266,0.323627047584094,-3.76103972177599,15.5229973632628
0.297930560541383,0.299606724606588,-3.65427072726026,17.4575057722188
0.3044073118575,0.276318945195427,-3.53476143702917,19.4579273960425
0.310884063173617,0.253843921307194,-3.4049394569803,20.0528339902372
0.317360814489734,0.232209250627564,-3.27611509779178,19.7397587123031
0.323837565805851,0.211402863254272,-3.14909596440016,19.4936603652489
0.330314317121968,0.191414402370573,-3.02348008497087,19.3049656653931
0.336791068438085,0.172235923911686,-2.8989229068364,19.1654684886751
0.343267819754202,0.153861551434737,-2.7751293108816,19.0680723347716
0.349744571070319,0.136287177733402,-2.65184710126842,19.0065896423287
0.356221322386436,0.119510204731479,-2.52886164870135,18.9755843300264
0.362698073702553,0.103529315015372,-2.40599144138534,18.9702475301195
0.36917482501867,0.0883442697667186,-2.28308435405671,18.9862990430761
0.375651576334787,0.0739557289417712,-2.16001448755219,19.0199088906186
0.382128327650904,0.0603650903919518,-2.03667946320515,19.0676346929894
0.388605078967021,0.0475743452872259,-1.91299808066256,19.1263715899924
0.395081830283138,0.0355859477327216,-1.78890826645217,19.1933121646941
0.401558581599255,0.0244026968905413,-1.66436525520583,19.2659143838022
0.408035332915372,0.0140276302564644,-1.53933995688374,19.3418759892514
0.414512084231489,0.00446392701297301,-1.41381747239725,19.4191140968501
0.420988835547606,-0.00428517940067189,-1.28779572724943,19.4957490055297
0.427465586863723,-0.0122164801832851,-1.16128419861716,19.5700914133912
0.43394233817984,-0.0193268620700813,-1.03430271599518,19.6406323880578
0.440419089495957,-0.0256133706570513,-0.906880319344913,19.7060355589367
0.446895840812074,-0.0310732664804358,-0.779054161815969,19.7651310954569
0.453372592128191,-0.0357040741051424,-0.650868446668503,19.8169111138901
0.459849343444308,-0.0395036244158066,-0.522373390123096,19.8605262202903
0.466326094760425,-0.042482945754826,-0.400241449914393,17.6242035933534
0.472802846076542,-0.0447230230508361,-0.294186941403491,15.1232622202962
0.479279597392659,-0.0463287380905377,-0.204362625252671,12.6128640224364
0.485756348708776,-0.0474053881487458,-0.130820590621425,10.0957740353941
0.492233100024893,-0.0480585526833802,-0.0735963396730898,7.57433711569725
0.49870985134101,-0.0483939951790879,-0.0327117151368409,5.05041860523816
0.505186602657127,-0.0485175850251986,-0.00817813442339336,2.5253680275951
0.511663353973244,NaN,NaN,NaN
