tiempo VCabeceo
0 -0.314159265358979
0.0158647359153861 -0.314148645534268
0.0317294718307722 -0.314074306761287
0.0475942077461582 -0.313872530091766
0.0634589436615443 -0.313479596577437
0.0793236795769304 -0.312831787270029
0.0951884154923165 -0.311865383221274
0.111053151407703 -0.3105166654829
0.126917887323089 -0.308721925726464
0.142782623238475 -0.306431548130913
0.158647359153861 -0.303637790844033
0.174512095069247 -0.300340653865822
0.190376830984633 -0.296540137196281
0.206241566900019 -0.292236240835411
0.222106302815405 -0.28742896478321
0.237971038730791 -0.28211830903968
0.253835774646177 -0.27630427360482
0.269700510561563 -0.26998685847863
0.285565246476949 -0.26316606366111
0.301429982392336 -0.25584188915226
0.317294718307722 -0.248014334952081
0.333159454223108 -0.239683401060571
0.349024190138494 -0.230849087477732
0.36488892605388 -0.221511394203562
0.380753661969266 -0.211670321238063
0.396618397884652 -0.201325868581234
0.412483133800038 -0.190478036233075
0.428347869715424 -0.179126824193586
0.44421260563081 -0.167272232462768
0.460077341546196 -0.154914261040619
0.475942077461582 -0.14205290992714
0.491806813376969 -0.128688179122332
0.507671549292355 -0.114820748294975
0.523536285207741 -0.100477719237734
0.539401021123127 -0.0857205170167409
0.555265757038513 -0.0706128605802645
0.571130492953899 -0.055218468876575
0.586995228869285 -0.0396010608539418
0.602859964784671 -0.0238243554606347
0.618724700700057 -0.00795207164492313
0.634589436615443 0.00795207164492322
0.650454172530829 0.0238243554606348
0.666318908446215 0.0396010608539419
0.682183644361601 0.055218468876575
0.698048380276987 0.0706128605802646
0.713913116192374 0.0857205170167408
0.72977785210776 0.100477719237734
0.745642588023146 0.114820748294975
0.761507323938532 0.128688179122332
0.777372059853918 0.14205290992714
0.793236795769304 0.154914261040619
0.80910153168469 0.167272232462768
0.824966267600076 0.179126824193586
0.840831003515462 0.190478036233075
0.856695739430848 0.201325868581234
0.872560475346234 0.211670321238063
0.88842521126162 0.221511394203562
0.904289947177007 0.230849087477732
0.920154683092393 0.239683401060571
0.936019419007779 0.248014334952081
0.951884154923165 0.25584188915226
0.967748890838551 0.26316606366111
0.983613626753937 0.26998685847863
0.999478362669323 0.27630427360482
1.01534309858471 0.28211830903968
1.0312078345001 0.28742896478321
1.04707257041548 0.292236240835411
1.06293730633087 0.296540137196281
1.07880204224625 0.300340653865822
1.09466677816164 0.303637790844033
1.11053151407703 0.306431548130913
1.12639624999241 0.308721925726464
1.1422609859078 0.3105166654829
1.15812572182318 0.311865383221274
1.17399045773857 0.312831787270029
1.18985519365396 0.313479596577437
1.20571992956934 0.313872530091766
1.22158466548473 0.314074306761287
1.23744940140011 0.314148645534268
1.2533141373155 NaN
