tiempo,angulosArfada
0,-1.16212393835407
0.00404146111907659,-1.16210541902251
0.00808292223815318,-1.16197579397919
0.0121243833572298,-1.16162404519351
0.0161658444763064,-1.16093944035356
0.0202073055953829,-1.15981186044787
0.0242487667144595,-1.15813225310479
0.0282902278335361,-1.15579320401784
0.0323316889526127,-1.15268963267823
0.0363731500716893,-1.14874376751361
0.0404146111907659,-1.14395287443464
0.0444560723098425,-1.13832969816544
0.0484975334289191,-1.13188890075352
0.0525389945479956,-1.12464689306891
0.0565804556670722,-1.11662165386583
0.0606219167861488,-1.10783254069277
0.0646633779052254,-1.09830009678125
0.068704839024302,-1.08804585774658
0.0727463001433786,-1.0770921615275
0.0767877612624552,-1.06546196451112
0.0808292223815318,-1.05317866626664
0.0848706835006083,-1.04026594477946
0.0889121446196849,-1.0267476035593
0.0929536057387615,-1.01264743151437
0.0969950668578381,-0.997989076051812
0.101036527976915,-0.982795929491478
0.105077989095991,-0.967091028570187
0.109119450215068,-0.950896966565926
0.113160911334144,-0.934235817383682
0.117202372453221,-0.917129070810877
0.121243833572298,-0.89959757806421
0.125285294691374,-0.881661506703834
0.129326755810451,-0.863341194851304
0.133368216929527,-0.844690261715134
0.137409678048604,-0.825802925501668
0.141451139167681,-0.806770612685286
0.145492600286757,-0.787679154724161
0.149534061405834,-0.768609096747672
0.15357552252491,-0.749636045997954
0.157616983643987,-0.730831045621867
0.161658444763064,-0.712260962311013
0.16569990588214,-0.693988878804347
0.169741367001217,-0.676074484405552
0.173782828120293,-0.658574458453173
0.17782428923937,-0.641542843155531
0.181865750358446,-0.62503140340914
0.185907211477523,-0.609089972203562
0.1899486725966,-0.593766781019777
0.193990133715676,-0.579106362531667
0.198031594834753,-0.565116599345863
0.202073055953829,-0.551778755064765
0.206114517072906,-0.539074998272985
0.210155978191983,-0.526988978101633
0.214197439311059,-0.515505694622759
0.218238900430136,-0.504611383969179
0.222280361549212,-0.494293416236078
0.226321822668289,-0.484540204530938
0.230363283787366,-0.475341123793138
0.234404744906442,-0.46668643821516
0.238446206025519,-0.45856723627227
0.242487667144595,-0.450975372513689
0.246529128263672,-0.443903415390953
0.250570589382749,-0.437344600502657
0.254612050501825,-0.431292788722553
0.258653511620902,-0.425742428752771
0.262694972739978,-0.420688523707948
0.266736433859055,-0.416126601391192
0.270777894978131,-0.412052687970518
0.274819356097208,-0.408463284805907
0.278860817216285,-0.405355348213525
0.282902278335361,-0.402726271985724
0.286943739454438,-0.400573872513974
0.290985200573514,-0.398889112446691
0.295026661692591,-0.397624113911112
0.299068122811668,-0.396718261238819
0.303109583930744,-0.396111304156204
0.307151045049821,-0.395743252496216
0.311192506168897,-0.395554283084517
0.315233967287974,-0.395484667919255
0.31927542840705,-0.395474723121722
