tiempo,angulosCabeceo
0,1.28107415811084
0.0158647359153861,1.28105561652059
0.0317294718307722,1.28092587461168
0.0475942077461582,1.28057415091224
0.0634589436615443,1.27989101839508
0.0793236795769304,1.27876990839628
0.0951884154923165,1.27710907300698
0.111053151407703,1.27481381587628
0.126917887323089,1.27179874743286
0.142782623238475,1.26801279925021
0.158647359153861,1.26348277472514
0.174512095069247,1.25825207866082
0.190376830984633,1.25236564272008
0.206241566900019,1.24586826476909
0.222106302815405,1.23880332439037
0.237971038730791,1.23121187537455
0.253835774646177,1.22313207510816
0.269700510561563,1.21459889033895
0.285565246476949,1.20564401390773
0.301429982392336,1.19629593188457
0.317294718307722,1.18658009020787
0.333159454223108,1.17651912096244
0.349024190138494,1.16613309883209
0.36488892605388,1.15543980707628
0.380753661969266,1.14445499934285
0.396618397884652,1.13319264884571
0.412483133800038,1.1216651801777
0.428347869715424,1.10988368160544
0.44421260563081,1.09785809739387
0.460077341546196,1.08559740077561
0.475942077461582,1.07310974880476
0.491806813376969,1.06040262065734
0.507671549292355,1.0474835679776
0.523536285207741,1.03438354904726
0.539401021123127,1.0211617975949
0.555265757038513,1.00787543808447
0.571130492953899,0.994577876935737
0.586995228869285,0.981319286169252
0.602859964784671,0.968147022203215
0.618724700700057,0.955105984668119
0.634589436615443,0.94223892185738
0.650454172530829,0.929586690155007
0.666318908446215,0.917188474870908
0.682183644361601,0.90508197963762
0.698048380276987,0.893303591052254
0.713913116192374,0.881888524692839
0.72977785210776,0.870870958063656
0.745642588023146,0.86028415546603
0.761507323938532,0.850158923218741
0.777372059853918,0.840500783372476
0.793236795769304,0.831296880395074
0.80910153168469,0.822534961358151
0.824966267600076,0.814203746893442
0.840831003515462,0.806292825277755
0.856695739430848,0.798792564398508
0.872560475346234,0.791694038331902
0.88842521126162,0.784988965933499
0.904289947177007,0.778669659356078
0.920154683092393,0.772728980810562
0.936019419007779,0.767160306200462
0.951884154923165,0.761957494509226
0.967748890838551,0.757114862018329
0.983613626753937,0.752627160593316
0.999478362669323,0.748489559403951
1.01534309858471,0.744697629549652
1.0312078345001,0.741247331147575
1.04707257041548,0.738135002511961
1.06293730633087,0.735357351112661
1.07880204224625,0.732911446050549
1.09466677816164,0.730794711829669
1.11053151407703,0.729004923241941
1.12639624999241,0.727540201211335
1.1422609859078,0.72639406853422
1.15812572182318,0.725533706175351
1.17399045773857,0.72491772049354
1.18985519365396,0.724505037967754
1.20571992956934,0.724254812619925
1.22158466548473,0.724126345008014
1.23744940140011,0.724079019365038
1.2533141373155,NaN
