tiempo Vbalanceo
0 -0.10471975511966
0.00910190257305997 -0.104716281550249
0.0182038051461199 -0.104691966564373
0.0273057077191799 -0.104625968745566
0.0364076102922399 -0.104497446677363
0.0455095128652999 -0.1042855589433
0.0546114154383598 -0.10396946412691
0.0637133180114198 -0.103528320811728
0.0728152205844798 -0.102941288015486
0.0819171231575397 -0.102191544109918
0.0910190257305997 -0.101276110943451
0.10012092830366 -0.100194988516086
0.10922283087672 -0.0989481768278209
0.11832473344978 -0.0975356758786574
0.12742663602284 -0.0959574856685949
0.1365285385959 -0.0942136061976334
0.14563044116896 -0.092304037465773
0.154732343742019 -0.0902287794730136
0.163834246315079 -0.0879878322193553
0.172936148888139 -0.085581195704798
0.182038051461199 -0.0830088699293418
0.191139954034259 -0.0802708548929866
0.200241856607319 -0.0773671505957325
0.209343759180379 -0.0742977570375794
0.218445661753439 -0.0710626742185274
0.227547564326499 -0.0676619021385764
0.236649466899559 -0.0640954407977265
0.245751369472619 -0.0603632901959776
0.254853272045679 -0.0564654503333298
0.263955174618739 -0.052401921209783
0.273057077191799 -0.0481727028253373
0.282158979764859 -0.0437777951799926
0.291260882337919 -0.0392172260623042
0.300362784910979 -0.0344969144345484
0.309464687484039 -0.0296359232456519
0.318566590057099 -0.02465509391208
0.327668492630159 -0.0195752678502981
0.336770395203219 -0.0144172864767714
0.345872297776279 -0.00920199120796522
0.354974200349339 -0.00395022346034478
0.364076102922399 0.00131717534962463
0.373178005495459 0.00657936380547771
0.382279908068519 0.0118155004907492
0.391381810641579 0.0170047439889737
0.400483713214639 0.0221262528836862
0.409585615787699 0.0271591857584212
0.418687518360759 0.0320827011967136
0.427789420933819 0.0368759577820979
0.436891323506879 0.0415182078844831
0.445993226079939 0.0459959601602773
0.455095128652999 0.0503080231751725
0.464197031226058 0.0544543969291688
0.473298933799118 0.0584350814222661
0.482400836372178 0.0622500766544644
0.491502738945238 0.0658993826257638
0.500604641518298 0.0693829993361643
0.509706544091358 0.0727009267856658
0.518808446664418 0.0758531649742684
0.527910349237478 0.0788397139019719
0.537012251810538 0.0816605735687766
0.546114154383598 0.0843157439746823
0.555216056956658 0.086805225119689
0.564317959529718 0.0891290170037968
0.573419862102778 0.0912871196270056
0.582521764675838 0.0932795329893155
0.591623667248898 0.0951062570907265
0.600725569821958 0.0967672919312385
0.609827472395018 0.0982626375108515
0.618929374968078 0.0995922938295656
0.628031277541138 0.100756260887381
0.637133180114198 0.101754538684297
0.646235082687258 0.102587127220314
0.655336985260318 0.103254343024445
0.664438887833378 0.103765826120197
0.673540790406438 0.104141840008925
0.682642692979498 0.104403226107093
0.691744595552558 0.104570825831168
0.700846498125618 0.104665480597615
0.709948400698678 0.104708031822898
0.719050303271738 0.104719320923483
0.728152205844798 0.104719320923483
0.737254108417858 0.104708031822898
0.746356010990918 0.104665480597615
0.755457913563978 0.104570825831168
0.764559816137037 0.104403226107093
0.773661718710097 0.104141840008925
0.782763621283157 0.103765826120197
0.791865523856217 0.103254343024445
0.800967426429277 0.102587127220314
0.810069329002337 0.101754538684297
0.819171231575397 0.100756260887381
0.828273134148457 0.0995922938295656
0.837375036721517 0.0982626375108515
0.846476939294577 0.0967672919312385
0.855578841867637 0.0951062570907265
0.864680744440697 0.0932795329893155
0.873782647013757 0.0912871196270057
0.882884549586817 0.0891290170037968
0.891986452159877 0.086805225119689
0.901088354732937 0.0843157439746823
0.910190257305997 0.0816605735687766
0.919292159879057 0.0788397139019719
0.928394062452117 0.0758531649742683
0.937495965025177 0.0727009267856658
0.946597867598237 0.0693829993361643
0.955699770171297 0.0658993826257639
0.964801672744357 0.0622500766544644
0.973903575317417 0.0584350814222661
0.983005477890477 0.0544543969291688
0.992107380463537 0.0503080231751725
1.0012092830366 0.0459959601602772
1.01031118560966 0.0415182078844831
1.01941308818272 0.0368759577820979
1.02851499075578 0.0320827011967136
1.03761689332884 0.0271591857584212
1.0467187959019 0.0221262528836862
1.05582069847496 0.0170047439889738
1.06492260104802 0.0118155004907491
1.07402450362108 0.00657936380547772
1.08312640619414 0.00131717534962457
1.0922283087672 -0.00395022346034477
1.10133021134026 -0.00920199120796515
1.11043211391332 -0.0144172864767714
1.11953401648638 -0.0195752678502981
1.12863591905944 -0.0246550939120799
1.1377378216325 -0.0296359232456518
1.14683972420556 -0.0344969144345483
1.15594162677862 -0.0392172260623042
1.16504352935168 -0.0437777951799925
1.17414543192474 -0.0481727028253372
1.1832473344978 -0.0524019212097829
1.19234923707086 -0.0564654503333297
1.20145113964392 -0.0603632901959776
1.21055304221698 -0.0640954407977264
1.21965494479004 -0.0676619021385764
1.2287568473631 -0.0710626742185273
1.23785874993616 -0.0742977570375794
1.24696065250922 -0.0773671505957325
1.25606255508228 -0.0802708548929866
1.26516445765534 -0.0830088699293418
1.2742663602284 -0.085581195704798
1.28336826280146 -0.0879878322193553
1.29247016537452 -0.0902287794730136
1.30157206794758 -0.092304037465773
1.31067397052064 -0.0942136061976334
1.3197758730937 -0.0959574856685948
1.32887777566676 -0.0975356758786573
1.33797967823982 -0.0989481768278209
1.34708158081288 -0.100194988516086
1.35618348338594 -0.101276110943451
1.365285385959 -0.102191544109918
1.37438728853206 -0.102941288015486
1.38348919110512 -0.103528320811728
1.39259109367818 -0.10396946412691
1.40169299625124 -0.1042855589433
1.4107948988243 -0.104497446677363
1.41989680139736 -0.104625968745566
1.42899870397042 -0.104691966564373
1.43810060654348 -0.104716281550249
1.44720250911654 -0.10471975511966
