tiempo,angulosCabeceo,VelocidadAngularCabeceo,AceleracionAngularCabeceo
0,3.25035581557882,0,0
0.0153207849975183,3.25035038109028,-0.001064140316048,-0.13891457815023
0.0306415699950366,3.2503123396823,-0.00425655895026937,-0.277828777916802
0.0459623549925548,3.25020908453694,-0.00957724336165506,-0.416741601076821
0.0612831399900731,3.2500080091746,-0.0170261599148104,-0.555651261417452
0.0766039249875914,3.24967650787888,-0.0266032398911781,-0.694554898910822
0.0919247099851097,3.24918197637833,-0.0383083592639712,-0.833448037315588
0.107245494982628,3.24849181291443,-0.0521413076595019,-0.972323701037819
0.122566279980146,3.24757342058363,-0.0680990804265967,-1.10422571670456
0.137887064977665,3.24640049715029,-0.085015990746907,-1.10412888603036
0.153207849975183,3.24496840629159,-0.101931105650195,-1.10398942650809
0.168528634972701,3.24327718098878,-0.118843678380167,-1.10379474216645
0.183849419970219,3.24132686722909,-0.135752752230018,-1.1035300268598
0.199170204967738,3.23911752748043,-0.15265712692866,-1.10317829729765
0.214490989965256,3.23664924467714,-0.169555325562939,-1.1027204299066
0.229811774962774,3.23392212670801,-0.186445562090847,-1.10213520103037
0.245132559960292,3.23093631139715,-0.203325709492768,-1.10139932992825
0.260453344957811,3.22769197196777,-0.22019326859928,-1.10048752399392
0.275774129955329,3.22418932297805,-0.237045337624869,-1.09937252558588
0.291094914952847,3.22042862671834,-0.253878582427461,-1.09802515983875
0.306415699950366,3.21641020005831,-0.270689207503861,-1.09641438281131
0.321736484947884,3.21213442173284,-0.287472927721307,-1.09450732932357
0.337057269945402,3.20760174005545,-0.304224940775432,-1.09226935984078
0.35237805494292,3.2028126810482,-0.320939900355219,-1.08966410577895
0.367698839940439,3.19776785697755,-0.337611889986138,-1.08665351263295
0.383019624937957,3.19246797528594,-0.354234397513741,-1.08319788036594
0.398340409935475,3.18691384790971,-0.37080029018178,-1.07925590054754
0.413661194932994,3.18110640097466,-0.387301790251461,-1.07478468978844
0.428981979930512,3.17504668486132,-0.403730451102099,-1.06973981909073
0.44430276492803,3.1687358846331,-0.420077133748202,-1.06407533881686
0.459623549925548,3.16217533082153,-0.436331983704179,-1.0577437990763
0.474944334923067,3.15536651056367,-0.452484408125628,-1.0506962654372
0.490265119920585,3.1483111220455,-0.468480999624649,-1.0154394622093
0.505585904918103,3.14102013495578,-0.482925258652682,-0.870163790027434
0.520906689915621,3.13352489261819,-0.495145435428053,-0.725133521915364
0.53622747491314,3.1258594339155,-0.505146667871165,-0.58053035272861
0.551548259910658,3.1180576973057,-0.512936950276825,-0.436544823531048
0.566869044908176,3.1101534761751,-0.518527238652654,-0.293372331697918
0.582189829905695,3.10218037305643,-0.521931492903862,-0.15120888980985
0.597510614903213,3.09417175370594,-0.523166652605666,-0.0102467093769658
0.612831399900731,3.0861607020748,-0.522252544227246,0.129330319917498
0.628152184898249,3.07817997723454,-0.519211718720309,0.267351188993564
0.643472969895768,3.07026197332544,-0.514069219378447,0.403662302795432
0.658793754893286,3.06243868359072,-0.506852280827817,0.538131926985639
0.674114539890804,3.0547416695392,-0.497589960940719,0.670654487595726
0.689435324888323,3.0472020362444,-0.486312708384708,0.801154663601098
0.704756109885841,3.03985041473959,-0.473051869441202,0.929591212108128
0.720076894883359,3.03271695240543,-0.457839138656072,1.0559604652095
0.735397679880877,3.02583117329063,-0.440796576295415,1.14089446533844
0.750718464878396,3.01921141794445,-0.423376988832635,1.13305562867188
0.766039249875914,3.0128576176229,-0.4060787835729,1.12505797813272
0.781360034873432,3.00676789609134,-0.388903988929169,1.11695394494171
0.796680819870951,3.00094035209759,-0.371853848422936,1.10879357048372
0.812001604868469,2.99537307111918,-0.354928856789791,1.10062457112775
0.827322389865987,2.99006413656482,-0.338128795160496,1.09249239432677
0.842643174863505,2.98501164044298,-0.32145276544078,1.08444026732509
0.857963959861024,2.98021369350938,-0.304899223994084,1.07650923962166
0.873284744858542,2.97566843490306,-0.288466014715179,1.06873822017508
0.88860552985606,2.97137404128002,-0.272150401568611,1.06116401018994
0.903926314853578,2.96732873545198,-0.255949100654078,1.05382133219267
0.919247099851097,2.96353079453718,-0.239858311850924,1.04674285598834
0.934567884848615,2.95997855762935,-0.223873750085678,1.03995922198516
0.949888669846133,2.95667043299018,-0.207990676259832,1.03349906228253
0.965209454843652,2.95360490477042,-0.192203927869596,1.02738901983734
0.98053023984117,2.95078053926406,-0.176507949345141,1.02165376595444
0.995851024838688,2.9481959906996,-0.160896822133476,1.01631601628699
1.01117180983621,2.94585000657236,-0.145364294546715,1.01139654548233
1.02649259483372,2.94374143252105,-0.129903811395711,1.0069142005666
1.04181337983124,2.94186921675192,-0.114508543427896,1.0028859131275
1.05713416482876,2.94023241401329,-0.0991714165874567,0.999326710326912
1.07245494982628,2.93883018912297,-0.0838851411156682,0.99624972475448
1.0877757348238,2.93766182005104,-0.0686422405091692,0.993666203117826
1.10309651982132,2.93672625688233,-0.0536281237257171,0.935595154421087
1.11841730481883,2.93600950693645,-0.0402588832116519,0.809758200888902
1.13373808981635,2.93548283994437,-0.0288129131061264,0.68449932112052
1.14905887481387,2.93511685117097,-0.0192826269145653,0.559656895960518
1.16437965981139,2.93488223413524,-0.0116627194828856,0.435094910816247
1.17970044480891,2.9347497487012,-0.00594976754115255,0.310703834453356
1.19502122980643,2.93469019537904,-0.00214181925946386,0.186401186195152
1.21034201480394,2.93467439597103,-0.000237977056345746,0.0621318611200315
1.22566279980146,2.93467439597103,0.000237977056345724,0.0621318611200286
1.24098358479898,2.93469019537904,0.00214181925946383,0.186401186195151
