tiempo,angulosArfada,VelocidadAngularArfada,AceleracionAngularArfada
0,3.25035581557882,0,0
0.00401604312461699,3.25034726286081,-0.00638890475426985,-3.18167754369283
0.00803208624923397,3.25028739452548,-0.025555103082527,-6.36303394217113
0.012048129373851,3.25012490084949,-0.0574958322651782,-9.54324420051747
0.0160641724984679,3.2498084913295,-0.10220391785489,-12.7209372445541
0.0200802156230849,3.24928691678354,-0.159665596655918,-15.8942050574936
0.0240962587477019,3.24850900010152,-0.229858391942498,-19.060620007508
0.0281123018723189,3.24742367536192,-0.312749079184455,-22.217263031746
0.0321283449969359,3.24598003592382,-0.408275842353142,-25.2019177494185
0.0361443881215529,3.24413726362321,-0.50939885282691,-25.1559982471489
0.0401604312461699,3.24188877296415,-0.610318307684066,-25.1006073867299
0.0441764743707869,3.23923545678577,-0.710996949850512,-25.036145414489
0.0481925174954038,3.2361783541385,-0.811399269109311,-24.9630817897386
0.0522085606200208,3.23271864271439,-0.911491777142212,-24.881953705507
0.0562246037446378,3.22885763018502,-1.01124327635726,-24.7933644795062
0.0602406468692548,3.22459674447322,-1.11062512205958,-24.6979818550205
0.0642566899938718,3.21993752298556,-1.20961147769043,-24.5965362556877
0.0682727331184888,3.21488160083402,-1.30817956304452,-24.4898190421864
0.0722887762431058,3.20943069807476,-1.4063098955761,-24.378680822682
0.0763048193677228,3.20358660599105,-1.50398652511997,-24.2640298725921
0.0803208624923397,3.19735117244603,-1.6011972625842,-24.1468307228794
0.0843369056169567,3.19072628632771,-1.69793390341652,-24.0281029797935
0.0883529487415737,3.18371386110539,-1.79419244690649,-23.908920442884
0.0923689918661907,3.17631581751141,-1.88997331266279,-23.7904105923703
0.0963850349908077,3.16853406535661,-1.98528155589952,-23.6737545217717
0.100401078115425,3.16037048448033,-2.08012708348144,-23.5601873973079
0.104417121240042,3.15182690482741,-2.17452487301821,-23.4509995322548
0.108433164364659,3.14290508563494,-2.26849519766767,-23.3475381725061
0.112449207489276,3.13360669369949,-2.36206385971384,-23.25121009944
0.116465250613893,3.12393328068301,-2.45526243643476,-23.1634851682855
0.12048129373851,3.11388625939989,-2.54812854227895,-23.0859009150843
0.124497336863127,3.10346687901087,-2.64070611193933,-23.0200683837248
0.128513379987744,3.09267626471518,-2.73280040356001,-22.3570213098865
0.132529423112361,3.08152922328569,-2.8163959772933,-19.2801526609346
0.136545466236978,3.0700711695133,-2.88771045676571,-16.2407549427995
0.140561509361595,3.05835112726774,-2.94689070616481,-13.2368745763931
0.144577552486212,3.04641754871781,-2.9940740001981,-10.2657069911188
0.148593595610829,3.03431835941985,-3.02938482115,-7.32370462111991
0.152609638735446,3.02210101538208,-3.0529321016956,-4.40669064904722
0.156625681860063,3.00981257027187,-3.06480693387257,-1.50997723658845
0.160641724984679,2.9974997508602,-3.06508076039866,1.37151260815441
0.164657768109296,2.98520903873841,-3.05380406179915,4.24312004793896
0.168673811233913,2.97298675629193,-3.03100555121091,7.11032261005647
0.17268985435853,2.96087915486976,-2.99669188783185,9.97860373206119
0.176705897483147,2.94893250304603,-2.95084791930058,12.8533198467712
0.180721940607764,2.93719317283021,-2.89343746228319,15.7395653458188
0.184737983732381,2.92570772164898,-2.82440462862398,18.6420360645466
0.188754026856998,2.91452296789936,-2.74367570096069,21.5648923936662
0.192770069981615,2.90368583886883,-2.65170689775734,23.6062452388321
0.196786113106232,2.89322669037545,-2.55701002378684,23.5560746953761
0.200802156230849,2.88314749183506,-2.46247917599642,23.5233093437582
0.204818199355466,2.87344771276404,-2.36804749245227,23.5064428371583
0.208834242480083,2.86412707915519,-2.27365408414035,23.5040062548005
0.2128502856047,2.85518554978077,-2.1792438928393,23.5145642055143
0.216866328729317,2.8466232930379,-2.08476756255063,23.5367119654129
0.220882371853934,2.83844066428972,-1.99018132041842,23.5690736074794
0.224898414978551,2.83063818367246,-1.89544686323858,23.6103010813868
0.228914458103168,2.82321651435318,-1.80053124582727,23.6590742002979
0.232930501227785,2.81617644123821,-1.70540676769869,23.7141014879231
0.236946544352402,2.80951885014563,-1.61005085469921,23.774121834003
0.240962587477019,2.80324470746859,-1.51444593246611,23.8379068999151
0.244978630601636,2.79735504036805,-1.41857928882781,23.9042642085866
0.248994673726253,2.79185091754479,-1.32244292254322,23.9720408446969
0.25301071685087,2.7867334306502,-1.2260333760921,24.0401276826401
0.257026759975487,2.78200367640387,-1.1293515505768,24.1074640513253
0.261042803100104,2.77766273949324,-1.03240250117681,24.1730427370297
0.265058846224721,2.77371167633562,-0.935195212008688,24.2359152186328
0.269074889349338,2.77015149978713,-0.837742349679664,24.2951970240718
0.273090932473955,2.7669831648846,-0.740059995277892,24.350073093148
0.277106975598572,2.76420755570687,-0.642167355007519,24.399803030247
0.281123018723189,2.76182547343999,-0.54408645014352,24.4437261313728
0.285139061847806,2.75983762572728,-0.44584178743944,24.4812660733497
0.289155104972423,2.75824386113348,-0.348715457241288,23.1224173181407
0.29317114809704,2.75702163378811,-0.262009704151296,20.055649462788
0.297187191221657,2.75612286461129,-0.187638137975697,16.9803671456779
0.301203234346274,2.75549795670086,-0.125630228036086,13.8988761652029
0.305219277470891,2.75509721259537,-0.0760067936227554,10.8131691563205
0.309235320595508,2.75487086634999,-0.0387813613942358,7.7248789090783
0.313251363720125,2.75476910983047,-0.0139616764930504,4.6352479545137
0.317267406844742,2.75474211273008,-0.00155130878302821,1.54511102339878
0.321283449969359,2.75474211273008,0.00155130878302825,1.5451110233988
0.325299493093976,2.75476910983047,0.0139616764930505,4.63524795451372
