[Tangents] "0 0"
0 -60.4470136067033
0.00404146111907659 -60.4465214649232
0.00808292223815318 -60.4430764254876
0.0121243833572298 -60.4337251896043
0.0161658444763064 -60.415513147674
0.0202073055953829 -60.3854828588528
0.0242487667144595 -60.3406719021575
0.0282902278335361 -60.2781100688693
0.0323316889526127 -60.1948163396899
0.0363731500716893 -60.0884488143487
0.0404146111907659 -59.9585945269496
0.0444560723098425 -59.8051866986445
0.0484975334289191 -59.6281448170354
0.0525389945479956 -59.4273737595354
0.0565804556670722 -59.2027627564008
0.0606219167861488 -58.9541841808095
0.0646633779052254 -58.681492150708
0.068704839024302 -58.3845209240547
0.0727463001433786 -58.0630830654414
0.0767877612624552 -57.7169673577439
0.0808292223815318 -57.3459364272785
0.0848706835006083 -56.9497240447089
0.0889121446196849 -56.5280320564051
0.0929536057387615 -56.0805268917543
0.0969950668578381 -55.6068355806439
0.101036527976915 -55.1065412014089
0.105077989095991 -54.5791776622301
0.109119450215068 -54.0242236973147
0.113160911334144 -53.4410959319011
0.117202372453221 -52.8291408354751
0.121243833572298 -52.187625338212
0.125285294691374 -51.5157258283651
0.129326755810451 -50.812549793149
0.133368216929527 -50.078446123659
0.137409678048604 -49.3154698385717
0.141451139167681 -48.5257929474755
0.145492600286757 -47.7115999406373
0.149534061405834 -46.8751007533574
0.15357552252491 -46.0185456600865
0.157616983643987 -45.1442423874499
0.161658444763064 -44.2545757719301
0.16569990588214 -43.3520303259369
0.169741367001217 -42.43921611142
0.173782828120293 -41.5188983467136
0.17782428923937 -40.594031179901
0.181865750358446 -39.6677960352816
0.185907211477523 -38.7436448555654
0.1899486725966 -37.8253483879598
0.193990133715676 -36.9168972986807
0.198031594834753 -36.0203662382233
0.202073055953829 -35.1362304614689
0.206114517072906 -34.264998353738
0.210155978191983 -33.4072641592052
0.214197439311059 -32.5637178681108
0.218238900430136 -31.7351563691937
0.222280361549212 -30.9224959392704
0.226321822668289 -30.1267861022115
0.230363283787366 -29.3492248234491
0.234404744906442 -28.5911749028709
0.238446206025519 -27.8541812749262
0.242487667144595 -27.1399887037927
0.246529128263672 -26.4505590558002
0.250570589382749 -25.7880869246295
0.254612050501825 -25.1550118676745
0.258653511620902 -24.5540248915388
0.262694972739978 -23.9880661392507
0.266736433859055 -23.460310070175
0.270777894978131 -22.9741339455322
0.274819356097208 -22.5330653814603
0.278860817216285 -22.1407054237049
0.282902278335361 -21.8006253637626
0.286943739454438 -21.5162385770632
0.290985200573514 -21.2896683263756
0.295026661692591 -21.1171459621888
0.299068122811668 -20.992290939984
0.303109583930744 -20.9080030163737
0.307151045049821 -20.8566409192277
0.311192506168897 -20.8301955347201
0.315233967287974 -20.8204404049334
0.31927542840705 -20.8190462819367
