[Tangents] cambiar
0 -101.020470671355
0.00404146111907659 -101.019952326334
0.00808292223815318 -101.016323969471
0.0121243833572298 -101.006476086292
0.0161658444763064 -100.98730078439
0.0202073055953829 -100.955693659512
0.0242487667144595 -100.908556394083
0.0282902278335361 -100.842800067477
0.0323316889526127 -100.755349661903
0.0363731500716893 -100.64383401322
0.0404146111907659 -100.507938024235
0.0444560723098425 -100.347736849593
0.0484975334289191 -100.163318079329
0.0525389945479956 -99.9547812005429
0.0565804556670722 -99.7222369843206
0.0606219167861488 -99.4658068008261
0.0646633779052254 -99.1856218656768
0.068704839024302 -98.8818224209051
0.0727463001433786 -98.5545568539033
0.0767877612624552 -98.2039807577932
0.0808292223815318 -97.8302559366392
0.0848706835006083 -97.4335493588354
0.0889121446196849 -97.0140320618366
0.0929536057387615 -96.571878011178
0.0969950668578381 -96.1072629164265
0.101036527976915 -95.6203630063383
0.105077989095991 -95.1113537650534
0.109119450215068 -94.5804086306366
0.113160911334144 -94.0276976566845
0.117202372453221 -93.453386137035
0.121243833572298 -92.8576331928605
0.125285294691374 -92.2405903205697
0.129326755810451 -91.6024311246606
0.133368216929527 -90.9445281618272
0.137409678048604 -90.2697928176641
0.141451139167681 -89.5811927508967
0.145492600286757 -88.8816476297305
0.149534061405834 -88.1740315548216
0.15357552252491 -87.4611763034445
0.157616983643987 -86.745875262029
0.161658444763064 -86.030887913768
0.16569990588214 -85.3189447488266
0.169741367001217 -84.6127524664191
0.173782828120293 -83.914999340346
0.17782428923937 -83.2283606223366
0.181865750358446 -82.5555038606477
0.185907211477523 -81.8990940149059
0.1899486725966 -81.2617982523405
0.193990133715676 -80.6461885245285
0.198031594834753 -80.0533253366466
0.202073055953829 -79.4831147264003
0.206114517072906 -78.9354511747093
0.210155978191983 -78.4102462434354
0.214197439311059 -77.9074270960836
0.218238900430136 -77.4269350806538
0.222280361549212 -76.9687243700937
0.226321822668289 -76.5327606567668
0.230363283787366 -76.1190198982437
0.234404744906442 -75.7274871125422
0.238446206025519 -75.3581552216887
0.242487667144595 -75.01102394316
0.246529128263672 -74.6860987293731
0.250570589382749 -74.3833897559378
0.254612050501825 -74.1029109598618
0.258653511620902 -73.844679129303
0.262694972739978 -73.6087130467933
0.266736433859055 -73.3950326881184
0.270777894978131 -73.2036584792216
0.274819356097208 -73.0346106136074
0.278860817216285 -72.8879084327603
0.282902278335361 -72.7635698720531
0.286943739454438 -72.6616109745223
0.290985200573514 -72.5817007419915
0.295026661692591 -72.521640531758
0.299068122811668 -72.4786004677277
0.303109583930744 -72.4497471737638
0.307151045049821 -72.4322451053321
0.311192506168897 -72.4232572944804
0.315233967287974 -72.4199459508036
0.31927542840705 -72.4194728997297
