[Tangents] "0 0"
0.00647675131611702 -155.896708547724
0.012953502632234 -155.881709468255
0.019430253948351 -155.841016834725
0.0259070052644681 -155.761853444276
0.0323837565805851 -155.631571151681
0.0388605078967021 -155.437745027361
0.0453372592128191 -155.168289935673
0.0518140105289361 -154.811597043691
0.0582907618450531 -154.35944920305
0.0647675131611702 -153.812458861402
0.0712442644772872 -153.173153437284
0.0777210157934042 -152.444380312424
0.0841977671095212 -151.629252431945
0.0906745184256382 -150.731093478162
0.0971512697417552 -149.753384502339
0.103628021057872 -148.699713524188
0.110104772373989 -147.573729201662
0.116581523690106 -146.379099275451
0.123058275006223 -145.119474134502
0.12953502632234 -143.798455549878
0.136011777638457 -142.419570392429
0.142488528954574 -140.986248984783
0.148965280270691 -139.50180763358
0.155442031586808 -137.969434834053
0.161918782902925 -136.392180624822
0.168395534219042 -134.772948585412
0.174872285535159 -133.114490002777
0.181349036851276 -131.419399778021
0.187825788167393 -129.690113694211
0.19430253948351 -127.928906716151
0.200779290799628 -126.13789203993
0.207256042115744 -124.319108846115
0.213732793431862 -122.477782699501
0.220209544747979 -120.622958548999
0.226686296064096 -118.763185797076
0.233163047380213 -116.906278296758
0.23963979869633 -115.059382375072
0.246116550012447 -113.229046423102
0.252593301328564 -111.421290317161
0.259070052644681 -109.641673410457
0.265546803960798 -107.89536020014
0.272023555276915 -106.187183050264
0.278500306593032 -104.521701554485
0.284977057909149 -102.903258268364
0.291453809225266 -101.336030642485
0.297930560541383 -99.8240790549398
0.3044073118575 -98.3713908838858
0.310884063173617 -96.9816918640763
0.317360814489734 -95.6553285759072
0.323837565805851 -94.3902148790121
0.330314317121968 -93.1844300859694
0.336791068438085 -92.0362633722594
0.343267819754202 -90.9441925975479
0.349744571070319 -89.9068655445597
0.356221322386436 -88.9230832035691
0.362698073702553 -87.9917847972711
0.36917482501867 -87.112034294951
0.375651576334787 -86.2830082092541
0.382128327650904 -85.5039845055631
0.388605078967021 -84.7743324846142
0.395081830283138 -84.0935035247298
0.401558581599255 -83.4610225918246
0.408035332915372 -82.8764804438535
0.414512084231489 -82.3395264721321
0.420988835547606 -81.8498621353802
0.427465586863723 -81.4072349537019
0.43394233817984 -81.0114330392703
0.440419089495957 -80.6622801483845
0.446895840812074 -80.3596312459747
0.453372592128191 -80.1033685786524
0.459849343444308 -79.8933982561568
0.466326094760425 -79.7289380566319
0.472802846076542 -79.6053897714902
0.479279597392659 -79.5168841958824
0.485756348708776 -79.4575660237064
0.492233100024893 -79.4215899202524
0.49870985134101 -79.4031168047468
0.505186602657127 -79.3963111075711
0.511663353973244 -79.3953388733465
