[Tangents] cambiar
0 -36.1947123054044
0.00709492559037712 -36.195128013789
0.0141898511807542 -36.1980380332909
0.0212847767711314 -36.2059371941121
0.0283797023615085 -36.2213220208987
0.0354746279518856 -36.2466926895918
0.0425695535422627 -36.2845557714106
0.0496644791326399 -36.3374277705365
0.056759404723017 -36.4078390494792
0.0638543303133941 -36.4977856585528
0.0709492559037713 -36.6076383010814
0.0780441814941484 -36.7374790950538
0.0851391070845255 -36.8874053290349
0.0922340326749026 -37.0575296578698
0.0993289582652798 -37.2479803361306
0.106423883855657 -37.4589014929128
0.113518809446034 -37.6904534522384
0.120613735036411 -37.9428131040629
0.127708660626788 -38.2161743317045
0.134803586217165 -38.5107485024561
0.141898511807543 -38.826765029206
0.14899343739792 -39.1644720121228
0.156088362988297 -39.5241369708746
0.163183288578674 -39.9060476794935
0.170278214169051 -40.3105131179064
0.177373139759428 -40.7378645563933
0.184468065349805 -41.188456791856
0.191562990940182 -41.662669557888
0.19865791653056 -42.1609091343099
0.205752842120937 -42.6836101862152
0.212847767711314 -43.2312378678114
0.219942693301691 -43.804290232635
0.227037618892068 -44.4032715316445
0.234132544482445 -45.0275693374509
0.241227470072822 -45.6750623747089
0.248322395663199 -46.3434779592944
0.255417321253576 -47.0304833117157
0.262512246843954 -47.7336782321636
0.269607172434331 -48.4505878091102
0.276702098024708 -49.1786551376674
0.283797023615085 -49.9152340427453
0.290891949205462 -50.657581826194
0.297986874795839 -51.402852087336
0.305081800386216 -52.1480877033181
0.312176725976594 -52.8902141000685
0.319271651566971 -53.6260329965773
0.326366577157348 -54.3522168645028
0.333461502747725 -55.0653044107813
0.340556428338102 -55.7618132620682
0.347651353928479 -56.4398777064017
0.354746279518856 -57.09892924045
0.361841205109233 -57.7384253986141
0.368936130699611 -58.3578163988141
0.376031056289988 -58.9565459844789
0.383125981880365 -59.5340525100372
0.390220907470742 -60.0897702799555
0.397315833061119 -60.6231311485153
0.404410758651496 -61.1335663839823
0.411505684241873 -61.6205087965922
0.41860060983225 -62.0833951248661
0.425695535422627 -62.5216686692209
0.432790461013005 -62.9347821557468
0.439885386603382 -63.3222008065019
0.446980312193759 -63.6834055859048
0.454075237784136 -64.0178965859913
0.461170163374513 -64.3251965067015
0.46826508896489 -64.6048541812617
0.475360014555267 -64.8564480914124
0.482454940145645 -65.0795898130379
0.489549865736022 -65.2739273299457
0.496644791326399 -65.4391481523982
0.503739716916776 -65.5749821777151
0.510834642507153 -65.68166488458
0.51792956809753 -65.7619768400967
0.525024493687907 -65.8195983577407
0.532119419278284 -65.8582590371805
0.539214344868661 -65.881722786401
0.546309270459039 -65.8937758033947
0.553404196049416 -65.8982170845058
