[Tangents] "0 0"
0 -124.194712305404
0.00709492559037712 -124.195128013789
0.0141898511807542 -124.198038033291
0.0212847767711314 -124.205937194112
0.0283797023615085 -124.221322020899
0.0354746279518856 -124.246692689592
0.0425695535422627 -124.284555771411
0.0496644791326399 -124.337427770536
0.056759404723017 -124.407839049479
0.0638543303133941 -124.497785658553
0.0709492559037713 -124.607638301081
0.0780441814941484 -124.737479095054
0.0851391070845255 -124.887405329035
0.0922340326749026 -125.05752965787
0.0993289582652798 -125.247980336131
0.106423883855657 -125.458901492913
0.113518809446034 -125.690453452238
0.120613735036411 -125.942813104063
0.127708660626788 -126.216174331705
0.134803586217165 -126.510748502456
0.141898511807543 -126.826765029206
0.14899343739792 -127.164472012123
0.156088362988297 -127.524136970875
0.163183288578674 -127.906047679493
0.170278214169051 -128.310513117906
0.177373139759428 -128.737864556393
0.184468065349805 -129.188456791856
0.191562990940182 -129.662669557888
0.19865791653056 -130.16090913431
0.205752842120937 -130.683610186215
0.212847767711314 -131.231237867811
0.219942693301691 -131.804290232635
0.227037618892068 -132.403271531645
0.234132544482445 -133.027569337451
0.241227470072822 -133.675062374709
0.248322395663199 -134.343477959294
0.255417321253576 -135.030483311716
0.262512246843954 -135.733678232164
0.269607172434331 -136.45058780911
0.276702098024708 -137.178655137667
0.283797023615085 -137.915234042745
0.290891949205462 -138.657581826194
0.297986874795839 -139.402852087336
0.305081800386216 -140.148087703318
0.312176725976594 -140.890214100068
0.319271651566971 -141.626032996577
0.326366577157348 -142.352216864503
0.333461502747725 -143.065304410781
0.340556428338102 -143.761813262068
0.347651353928479 -144.439877706402
0.354746279518856 -145.09892924045
0.361841205109233 -145.738425398614
0.368936130699611 -146.357816398814
0.376031056289988 -146.956545984479
0.383125981880365 -147.534052510037
0.390220907470742 -148.089770279955
0.397315833061119 -148.623131148515
0.404410758651496 -149.133566383982
0.411505684241873 -149.620508796592
0.41860060983225 -150.083395124866
0.425695535422627 -150.521668669221
0.432790461013005 -150.934782155747
0.439885386603382 -151.322200806502
0.446980312193759 -151.683405585905
0.454075237784136 -152.017896585991
0.461170163374513 -152.325196506702
0.46826508896489 -152.604854181262
0.475360014555267 -152.856448091412
0.482454940145645 -153.079589813038
0.489549865736022 -153.273927329946
0.496644791326399 -153.439148152398
0.503739716916776 -153.574982177715
0.510834642507153 -153.68166488458
0.51792956809753 -153.761976840097
0.525024493687907 -153.819598357741
0.532119419278284 -153.85825903718
0.539214344868661 -153.881722786401
0.546309270459039 -153.893775803395
0.553404196049416 -153.898217084506
