Hora(s) Fuerza[X](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[X](Revolución:3)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:3)-BalanceoCaso3.iaa(N) 
0.91019 -2669.63023 453.00385 5582.05717 1381.33271 
0.91929 -2657.86402 430.27434 5554.09004 1334.50868 
0.92839 -2645.58825 406.55422 5524.46195 1285.44493 
0.93750 -2632.83321 381.89065 5493.16836 1234.22291 
0.94660 -2619.63339 356.33087 5460.20048 1180.92615 
0.95570 -2606.01538 329.92015 5425.56334 1125.64387 
0.96480 -2592.04345 302.70725 5389.20925 1068.45699 
0.97390 -2577.64676 274.72380 5351.28458 1009.48691 
0.98301 -2563.27441 246.05395 5311.21558 948.72239 
0.99211 -2547.41014 216.59480 5271.09406 886.62588 
1.00121 -2536.00186 186.86026 5223.14570 822.01874 
1.01031 -2506.67888 155.33438 5196.08734 759.40283 
1.01941 -2591.92377 129.29348 5025.68840 676.01557 
1.02851 -2729.01559 102.24731 4802.39295 588.29464 
1.03762 -2861.60780 70.89381 4597.86190 506.51137 
1.04672 -3004.38937 35.62484 4394.97659 428.71154 
1.05582 -3153.58003 -3.88407 4198.86536 355.63460 
1.06492 -3310.33542 -47.81374 4008.69536 287.28315 
1.07402 -3474.37231 -96.34457 3825.14345 223.74759 
1.08313 -3645.70934 -149.62959 3648.41339 165.02107 
1.09223 -3824.19301 -207.78504 3478.75994 111.05094 
1.10133 -4009.64263 -270.88510 3316.33499 61.73616 
1.11043 -4201.76741 -338.94963 3161.26639 16.93821 
1.11953 -4400.37012 -411.95242 3013.47949 -23.51220 
1.12864 -4604.62421 -489.74671 2873.30554 -59.81098 
1.13774 -4815.80762 -572.34718 2739.24525 -92.12826 
1.14684 -5026.99926 -658.70618 2616.15815 -120.86701 
1.15594 -5261.95479 -751.77499 2485.21612 -145.29981 
1.16504 -5337.98923 -823.71103 2480.32129 -174.54991 
1.17415 -5375.97194 -888.89251 2502.50169 -204.98112 
1.18325 -5421.64816 -954.07390 2517.56396 -234.31894 
1.19235 -5463.03125 -1017.21958 2534.17420 -263.19897 
1.20145 -5503.36740 -1078.78797 2549.99362 -291.37566 
1.21055 -5541.78561 -1138.52177 2565.58374 -318.86496 
1.21965 -5578.52619 -1196.37097 2580.74409 -345.60306 
1.22876 -5613.52867 -1252.22940 2595.47696 -371.54710 
1.23786 -5646.81301 -1306.00982 2609.73331 -396.64648 
1.24696 -5678.37674 -1357.62297 2623.47975 -420.85159 
1.25606 -5708.22280 -1406.98365 2636.68096 -444.11184 
1.26516 -5736.35212 -1454.00930 2649.30430 -466.37666 
1.27427 -5762.76571 -1498.62060 2661.31871 -487.59576 
1.28337 -5787.46437 -1540.74154 2672.69499 -507.71953 
1.29247 -5810.44874 -1580.29963 2683.40580 -526.69946 
