Hora(s) Fuerza[X](Revolución:2)-ArfadaCaso3.iaa(N) Fuerza[Y](Revolución:2)-ArfadaCaso3.iaa(N) Fuerza[X](Revolución:3)-ArfadaCaso3.iaa(N) Fuerza[Y](Revolución:3)-ArfadaCaso3.iaa(N) 
0.60959 -3546.59846 -1218.08542 2955.77457 -583.76742 
0.61594 -3540.70862 -1236.11860 2957.93742 -565.84350 
0.62229 -3534.30622 -1255.49472 2960.17627 -546.60607 
0.62864 -3527.37748 -1276.20501 2962.47176 -526.06781 
0.63499 -3519.90697 -1298.24003 2964.80288 -504.24184 
0.64134 -3511.87804 -1321.58983 2967.14746 -481.14178 
0.64769 -3503.27297 -1346.24403 2969.48223 -456.78169 
0.65404 -3494.07200 -1372.19150 2971.78225 -431.17594 
0.66039 -3484.25684 -1399.42174 2974.02348 -404.33956 
0.66674 -3473.79804 -1427.91984 2976.17345 -376.28685 
0.67309 -3462.70065 -1457.68527 2978.22598 -347.03583 
0.67944 -3450.83990 -1488.66284 2980.07421 -316.59328 
0.68579 -3438.55027 -1520.99638 2981.97458 -285.00430 
0.69214 -3424.52539 -1554.10176 2982.86066 -252.18996 
0.69849 -3413.26195 -1590.03756 2986.44416 -218.46764 
0.70484 -3388.85664 -1621.32847 2979.26053 -182.92670 
0.71119 -3433.54171 -1687.90022 3033.52197 -149.53057 
0.71754 -3504.91067 -1771.05981 3113.25588 -114.78289 
0.72389 -3566.18570 -1852.77068 3186.57643 -77.06396 
0.73024 -3625.77010 -1937.03252 3260.96660 -36.81637 
0.73659 -3681.51648 -2022.51638 3334.41765 5.87382 
0.74294 -3733.89720 -2109.22005 3407.32456 50.84174 
0.74929 -3782.79083 -2196.80152 3479.48936 97.91622 
0.75564 -3828.25829 -2284.99549 3550.87221 146.91186 
0.76199 -3870.35800 -2373.51421 3621.40548 197.62915 
0.76834 -3909.20256 -2462.08274 3691.05229 249.85643 
0.77469 -3944.90375 -2550.40754 3759.75456 303.36744 
0.78104 -3977.73614 -2638.28464 3827.58697 357.93404 
0.78739 -4007.58552 -2725.23794 3894.23391 413.27885 
0.79374 -4035.82760 -2811.79523 3960.80666 469.26582 
0.80009 -4058.98103 -2895.08490 4023.58783 525.17007 
0.80644 -4089.97589 -2983.95239 4095.43699 582.43628 
0.81279 -4057.17942 -3025.03426 4099.92647 629.39242 
0.81914 -4008.81655 -3051.85718 4086.77725 671.88139 
0.82549 -3965.51849 -3079.69068 4077.45575 713.10889 
0.83184 -3922.67530 -3105.09484 4067.04573 752.30540 
0.83819 -3881.41358 -3128.97379 4056.79555 789.69936 
0.84454 -3841.53888 -3151.21156 4046.48868 825.26702 
0.85089 -3803.14998 -3171.92310 4036.24689 859.04653 
0.85724 -3766.27796 -3191.16906 4026.11064 891.06052 
0.86359 -3730.96481 -3209.01876 4016.13516 921.33464 
0.86994 -3697.24725 -3225.53682 4006.36915 949.89315 
0.87629 -3665.16006 -3240.78571 3996.85952 976.75981 
0.88264 -3634.73565 -3254.82526 3987.65049 1001.95761 
0.88899 -3606.00424 -3267.71260 3978.78388 1025.50877 
0.89534 -3578.99398 -3279.50214 3970.29908 1047.43465 
0.90169 -3553.73090 -3290.24539 3962.23304 1067.75564 
0.90804 -3530.23927 -3299.99109 3954.62053 1086.49119 
0.91439 -3508.54092 -3308.78443 3947.49331 1103.65953 
0.92074 -3488.65768 -3316.66925 3940.88295 1119.27833 
0.92709 -3470.60297 -3323.67986 3934.81080 1133.36184 
0.93344 -3454.41188 -3329.86972 3929.32372 1145.93110 
0.93979 -3440.03416 -3335.20823 3924.36571 1156.97649 
0.94614 -3427.71680 -3339.95123 3920.24015 1166.59378 
0.95249 -3416.63044 -3343.30356 3915.93806 1174.48721 
0.95884 -3409.82722 -3348.26683 3915.20990 1181.78854 
0.96519 -3350.25778 -3298.75267 3846.25416 1166.76310 
0.97154 -3289.78614 -3245.85996 3774.46749 1149.25921 
0.97789 -3231.69679 -3193.24184 3704.20747 1130.87368 
0.98424 -3174.70266 -3140.02962 3634.18799 1111.47736 
0.99059 -3118.74706 -3086.54517 3564.61381 1091.37921 
0.99694 -3063.48454 -3032.80321 3495.30553 1070.75580 
1.00329 -3008.68216 -2978.90833 3426.19655 1049.80318 
1.00964 -2954.11502 -2924.95196 3357.20329 1028.69737 
