Hora(s) Fuerza[X](Revolución:2)-CabeceoCaso3.iaa(N) Fuerza[Y](Revolución:2)-CabeceoCaso3.iaa(N) Fuerza[X](Revolución:3)-CabeceoCaso3.iaa(N) Fuerza[Y](Revolución:3)-CabeceoCaso3.iaa(N) 
1.48612 3577.13141 -74.11138 -3684.94434 2052.95933 
1.50144 3493.47445 -60.60136 -3613.82938 1998.35564 
1.51676 3404.39730 -46.71720 -3537.87819 1940.65212 
1.53208 3310.00255 -32.57724 -3457.13106 1880.00465 
1.54740 3210.39625 -18.30684 -3371.62814 1816.57688 
1.56272 3105.68743 -4.03825 -3281.40893 1750.53976 
1.57804 2995.98914 10.08943 -3186.51318 1682.07186 
1.59336 2881.41176 23.93034 -3086.97487 1611.35611 
1.60868 2762.08582 37.33213 -2982.84236 1538.59020 
1.62400 2638.07523 50.13486 -2874.10102 1463.94657 
1.63932 2509.69764 62.17703 -2760.95865 1387.71774 
1.65464 2376.33293 73.26655 -2642.78160 1309.78119 
1.66997 2240.84815 83.31550 -2522.05035 1231.56091 
1.68529 2093.15943 91.73560 -2389.64298 1148.83515 
1.70061 1971.30106 100.08844 -2279.58640 1078.08087 
1.71593 1657.39420 96.20168 -1995.98204 927.79615 
1.73125 1265.48721 83.05529 -1641.26287 749.22525 
1.74657 890.18477 65.44825 -1300.56601 582.59066 
1.76189 508.59385 41.59850 -953.27717 418.71152 
1.77721 127.47784 11.68696 -605.54560 260.59027 
1.79253 -254.37325 -24.62168 -256.34503 107.93302 
1.80785 -636.09446 -67.43733 93.45050 -38.78707 
1.82317 -1017.42309 -116.86241 443.48950 -179.39235 
1.83849 -1397.97229 -172.92542 793.28663 -313.71678 
1.85381 -1777.43467 -235.60030 1142.40954 -441.68244 
1.86914 -2155.45551 -304.78998 1490.36701 -563.25298 
1.88446 -2531.89544 -380.36173 1836.84999 -678.52284 
1.89978 -2905.86174 -462.00085 2180.86001 -787.39246 
1.91510 -3279.27027 -549.77362 2523.93730 -890.73285 
1.93042 -3643.50826 -641.89598 2858.09304 -986.11799 
1.94574 -4029.19049 -743.47278 3210.87745 -1083.39460 
1.96106 -4206.11220 -810.30711 3373.55769 -1113.62697 
1.97638 -4332.58943 -868.88299 3490.25992 -1127.71161 
1.99170 -4466.52127 -929.94791 3613.50976 -1143.32494 
2.00702 -4592.85949 -990.30511 3729.60961 -1156.18658 
2.02234 -4715.63804 -1050.56465 3842.19603 -1167.62788 
2.03766 -4833.75484 -1110.27749 3950.25041 -1177.49414 
2.05299 -4947.47180 -1169.29158 4054.00082 -1186.01041 
2.06831 -5056.66963 -1227.37515 4153.33790 -1193.29105 
2.08363 -5161.31666 -1284.32161 4248.24029 -1199.46910 
2.09895 -5261.34374 -1339.92070 4338.66058 -1204.66242 
2.11427 -5356.67934 -1393.96657 4424.55627 -1208.98294 
2.12959 -5447.24258 -1446.25551 4505.88185 -1212.53450 
2.14491 -5532.94723 -1496.58721 4582.59142 -1215.41370 
2.16023 -5613.71516 -1544.75836 4654.63900 -1217.71009 
2.17555 -5689.43741 -1590.58687 4721.97798 -1219.50617 
2.19087 -5760.03279 -1633.87897 4784.56193 -1220.87763 
2.20619 -5825.41432 -1674.45275 4842.34585 -1221.89382 
2.22151 -5885.50001 -1712.13595 4895.28970 -1222.61864 
2.23683 -5940.19049 -1746.76104 4943.33840 -1223.10567 
2.25216 -5989.45805 -1778.19268 4986.50153 -1223.41793 
2.26748 -6033.01529 -1806.23045 5024.55712 -1223.55524 
2.28280 -6071.55810 -1830.98133 5058.16034 -1223.72435 
2.29812 -6102.12626 -1851.46202 5084.70342 -1223.33691 
2.31344 -6135.44832 -1870.85818 5113.78357 -1224.73267 
2.32876 -5932.25772 -1815.92889 4932.09205 -1177.00483 
2.34408 -5713.49331 -1754.04742 4736.82955 -1127.37241 
2.35940 -5492.80141 -1689.79161 4540.05179 -1078.45986 
2.37472 -5267.62055 -1622.75696 4339.38138 -1029.46457 
2.39004 -5039.69169 -1553.82949 4136.29829 -980.52329 
2.40536 -4809.56027 -1483.49421 3931.24108 -931.54777 
2.42068 -4578.04624 -1412.28462 3724.91853 -882.53740 
2.43600 -4345.84732 -1340.65853 3517.95688 -833.49642 
