//              Time(s)       Force[Z](Revolution:2)-ArfadaCaso1.iaa(N) Force[Y](Revolution:2)-ArfadaCaso1.iaa(N) Force[X](Revolution:2)-ArfadaCaso1.iaa(N) Force(Revolution:2)-ArfadaCaso1.iaa(N) Moment[Z](Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment[Y](Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment[X](Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment(Revolution:2)-ArfadaCaso1.iaa(N.mm) Force[Z](Spherical:9)-ArfadaCaso1.iaa(N) Force[Y](Spherical:9)-ArfadaCaso1.iaa(N) Force[X](Spherical:9)-ArfadaCaso1.iaa(N) Force(Spherical:9)-ArfadaCaso1.iaa(N) Moment[Z](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment(Spherical:9)-ArfadaCaso1.iaa(N.mm) 
               0,09237       1,95025      -1217,57000    294,44300     1252,66000    237168,00000  4657,87000    17686,70000   237872,00000 -0,45198       1252,46000    0,00777       1252,46000   -0,00000       0,00000      -0,00000       0,00000      
               0,09638       1,94884      -1216,58000    294,64400     1251,75000    237599,00000  4660,76000    17669,30000   238301,00000 -0,44607       1251,55000    0,00769       1251,55000   -0,00000       0,00000      -0,00000       0,00000      
               0,10040       1,94738      -1215,57000    294,81665     1250,81000    238041,00000  4663,23000    17651,40000   238740,00000 -0,43990       1250,61000    0,00762       1250,61000   -0,00000       0,00000      -0,00000       0,00000      
               0,10442       1,94588      -1214,53000    294,95700     1249,84000    238492,00000  4665,19000    17633,00000   239188,00000 -0,43347       1249,64000    0,00754       1249,64000   -0,00000       0,00000      -0,00000       0,00000      
               0,10843       1,94434      -1213,48000    295,05800     1248,84000    238949,00000  4666,57000    17614,20000   239643,00000 -0,42679       1248,64000    0,00746       1248,64000   -0,00000       0,00000      -0,00000       0,00000      
               0,11245       1,94273      -1212,40000    295,11100     1247,80000    239408,00000  4667,20000    17594,90000   240099,00000 -0,41983       1247,60000    0,00737       1247,60000   -0,00000       0,00000      -0,00000       0,00000      
               0,11646       1,94126      -1211,42000    295,14000     1246,85000    239890,00000  4667,49000    17576,80000   240578,00000 -0,41270       1246,65000    0,00728       1246,65000   -0,00000       0,00000      -0,00000       0,00000      
               0,12048       1,93879      -1209,82000    294,96700     1245,26000    240252,00000  4664,61000    17549,70000   240938,00000 -0,40503       1245,06000    0,00719       1245,06000   -0,00000       0,00000      -0,00000       0,00000      
               0,12450       1,94099      -1211,15000    295,44500     1246,67000    241194,00000  4672,06000    17564,80000   241878,00000 -0,39818       1246,46000    0,00711       1246,46000   -0,00000       0,00000      -0,00000       0,00000      
               0,12851       1,92063      -1198,43000    292,42600     1233,59000    239328,00000  4624,26000    17376,10000   240003,00000 -0,38695       1233,39000    0,00696       1233,39000    0,00001       0,00000      -0,00000       0,00001      
