Time(s) Force[X](Prismatic:19)(N) Force[Y](Prismatic:19)(N) Force[Z](Prismatic:19)(N) Force(Prismatic:19)(N) Moment[Z](Prismatic:19)(N.mm) Moment[Y](Prismatic:19)(N.mm) Moment[X](Prismatic:19)(N.mm) Moment(Prismatic:19)(N.mm) 
0.36682 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1561330.00000 31960.60000 1573530.00000 
0.37237 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1551520.00000 31961.50000 1563800.00000 
0.37793 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1542060.00000 31962.50000 1554410.00000 
0.38349 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1532950.00000 31963.40000 1545380.00000 
0.38905 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1524180.00000 31964.30000 1536680.00000 
0.39460 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1515770.00000 31965.10000 1528340.00000 
0.40016 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1507710.00000 31965.90000 1520350.00000 
0.40572 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1500000.00000 31966.70000 1512700.00000 
0.41128 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1492640.00000 31967.40000 1505400.00000 
0.41684 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1485630.00000 31968.10000 1498450.00000 
0.42239 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1478960.00000 31968.80000 1491840.00000 
0.42795 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1472650.00000 31969.40000 1485590.00000 
0.43351 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1466690.00000 31970.00000 1479680.00000 
0.43907 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1461080.00000 31970.60000 1474120.00000 
0.44462 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1455820.00000 31971.10000 1468900.00000 
0.45018 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1450910.00000 31971.60000 1464040.00000 
0.45574 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1446350.00000 31972.10000 1459520.00000 
0.46130 9800.00000 -0.69559 -1153.79000 7028.08000 272794.95960 -1442140.00000 31972.60000 1455340.00000 
0.46686 9800.00000 -0.69559 -1153.78000 7028.08000 272794.95960 -1438290.00000 31972.60000 1451530.00000 
