Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
0.70476 7505.31000 -371.11850 2.06817 7514.48000 5510.05000 -451.39300 14473.60000 15493.60000 
0.72008 8256.59000 -499.55100 2.27899 8271.69000 5674.76000 -536.77100 19482.50000 20299.20000 
0.73540 8862.55000 -613.09000 2.37540 8883.74000 5814.34000 -625.72300 23910.50000 24615.30000 
0.75072 9108.06000 -684.88200 2.21029 9133.78000 5878.83000 -715.78100 26710.40000 27359.10000 
0.76604 9400.27000 -762.25700 2.09040 9431.13000 5942.40000 -803.01600 29728.00000 30326.80000 
0.78136 9667.84000 -836.55300 1.96352 9703.96000 5992.61000 -887.34300 32625.60000 33183.20000 
0.79668 9929.88000 -909.93400 1.84360 9971.48000 6034.03000 -968.44600 35487.40000 36009.80000 
0.81200 10181.10000 -981.59200 1.72707 10228.30000 6066.50000 -1046.06000 38282.10000 38773.90000 
0.82732 10422.70000 -1051.54000 1.61499 10475.60000 6091.11000 -1120.01000 41010.00000 41475.00000 
0.84264 10654.30000 -1119.56000 1.50716 10713.00000 6108.60000 -1190.13000 43662.90000 44104.20000 
0.85796 10875.90000 -1185.52000 1.40370 10940.30000 6119.73000 -1256.34000 46235.10000 46655.30000 
0.87328 11087.20000 -1249.24000 1.30465 11157.40000 6125.24000 -1318.56000 48720.50000 49121.70000 
0.88861 11288.30000 -1310.59000 1.21002 11364.10000 6125.85000 -1376.77000 51113.20000 51497.40000 
0.90393 11478.80000 -1369.42000 1.11979 11560.20000 6122.23000 -1430.98000 53407.40000 53776.30000 
0.91925 11658.90000 -1425.58000 1.03392 11745.70000 6115.03000 -1481.23000 55597.80000 55952.70000 
0.93457 11828.30000 -1478.95000 0.95233 11920.40000 6104.90000 -1527.57000 57679.00000 58021.30000 
0.94989 11986.90000 -1529.38000 0.87490 12084.10000 6092.43000 -1570.10000 59646.00000 59976.90000 
