Time(s) Force[Z](Cylindrical:11)-BalanceoCaso2.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso2.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso2.iaa(N) Force(Cylindrical:11)-BalanceoCaso2.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso2.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso2.iaa(N.mm) 
0.00000 9338.75000 -1257.60000 42.78820 9423.15000 116452.00000 -34149.10000 49046.30000 130892.00000 
0.00910 9306.49000 -1260.51000 -11.87377 9391.47000 119030.00000 -37074.00000 49159.70000 134013.00000 
0.01820 9274.30000 -1263.44000 -66.54480 9360.20000 121589.00000 -39993.30000 49274.30000 137154.00000 
0.02731 9242.34000 -1266.45000 -121.23800 9329.49000 124109.00000 -42902.10000 49391.40000 140297.00000 
0.03641 9210.83000 -1269.55000 -175.94700 9299.58000 126574.00000 -45795.00000 49512.40000 143421.00000 
0.04551 9180.03000 -1272.79000 -230.73600 9270.71000 128971.00000 -48670.90000 49638.90000 146514.00000 
0.05461 9150.42000 -1276.21000 -285.39856 9243.39000 131276.00000 -51514.50000 49772.00000 149547.00000 
0.06371 9121.87000 -1279.86000 -340.74900 9217.52000 133513.00000 -54365.60000 49914.50000 152555.00000 
0.07282 9096.95000 -1283.69000 -393.76900 9195.50000 135531.00000 -57059.60000 50063.80000 155341.00000 
0.08192 9105.63000 -1285.01000 -392.46400 9204.23000 134807.00000 -56792.90000 50115.40000 154629.00000 
0.09102 9114.59000 -1286.71000 -393.24100 9213.36000 134034.00000 -56593.40000 50181.70000 153903.00000 
0.10012 9125.54000 -1288.68000 -393.54200 9224.48000 133088.00000 -56323.40000 50258.70000 153005.00000 
0.10922 9137.99000 -1290.95000 -394.05300 9237.14000 132000.00000 -56019.20000 50347.10000 151977.00000 
0.11832 9152.03000 -1293.50000 -394.59300 9251.41000 130760.00000 -55670.30000 50446.40000 150805.00000 
0.12743 9167.60000 -1296.32000 -395.21100 9267.23000 129369.00000 -55278.70000 50556.40000 149492.00000 
0.13653 9184.67000 -1299.40000 -395.89500 9284.57000 127823.00000 -54842.80000 50676.70000 148035.00000 
0.14563 9203.19000 -1302.74000 -396.65000 9303.40000 126120.00000 -54362.10000 50807.00000 146434.00000 
0.15473 9223.14000 -1306.33000 -397.47700 9323.67000 124259.00000 -53835.60000 50946.80000 144686.00000 
0.16383 9244.46000 -1310.14000 -398.37800 9345.33000 122236.00000 -53262.60000 51095.60000 142791.00000 
0.17294 9267.11000 -1314.18000 -399.35400 9368.34000 120049.00000 -52641.90000 51252.90000 140747.00000 
0.18204 9291.04000 -1318.41000 -400.40800 9392.65000 117696.00000 -51972.80000 51418.20000 138554.00000 
0.19114 9316.20000 -1322.84000 -401.54200 9418.22000 115173.00000 -51254.30000 51590.80000 136211.00000 
0.20024 9342.55000 -1327.44000 -402.75700 9444.98000 112478.00000 -50485.40000 51770.00000 133717.00000 
0.20934 9370.04000 -1332.18000 -404.05700 9472.88000 109609.00000 -49665.20000 51955.10000 131073.00000 
0.21845 9398.60000 -1337.06000 -405.44400 9501.88000 106562.00000 -48792.80000 52145.40000 128279.00000 
0.22755 9428.20000 -1342.05000 -406.92276 9531.93000 103336.00000 -47867.40000 52339.90000 125336.00000 
0.23665 9458.78000 -1347.12000 -408.49100 9562.96000 99927.00000 -46887.80000 52537.70000 122246.00000 
0.24575 9490.30000 -1352.26000 -410.17100 9594.93000 96334.50000 -45854.50000 52738.00000 119014.00000 
0.25485 9522.71000 -1357.42000 -411.89600 9627.79000 92551.70000 -44762.40000 52939.50000 115638.00000 
0.26395 9555.94000 -1362.61000 -413.93500 9661.47000 88593.60000 -43626.80000 53141.60000 112143.00000 
0.27306 9590.13000 -1367.74000 -415.29834 9696.07000 84394.00000 -42388.20000 53342.00000 108464.00000 
0.28216 9624.25000 -1372.86000 -419.71000 9730.73000 80193.80000 -41266.60000 53541.40000 104884.00000 
0.29126 9663.29000 -1377.97000 -412.82800 9769.77000 75050.50000 -39410.00000 53740.90000 100368.00000 
0.30036 9710.36000 -1382.19000 -355.30423 9814.67000 66293.70000 -34453.70000 53905.50000 92128.80000 
0.30946 9749.49000 -1385.92000 -303.95300 9852.19000 57711.40000 -29789.90000 54050.80000 84495.70000 
0.31857 9783.89000 -1389.29000 -251.06900 9885.22000 48822.10000 -24968.60000 54182.50000 77089.30000 
0.32767 9812.12000 -1392.17000 -198.70000 9912.38000 39795.90000 -20122.70000 54294.60000 70260.50000 
0.33677 9834.29000 -1394.53000 -146.27600 9933.75000 30628.60000 -15229.30000 54386.60000 64249.10000 
0.34587 9850.13000 -1396.32000 -93.92740 9949.05000 21365.10000 -10307.70000 54456.70000 59399.00000 
