Time(s) Force[Z](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso3.iaa(N) Force(Cylindrical:11)-BalanceoCaso3.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso3.iaa(N.mm) 
0.40959 -2630.03000 1635.97000 356.24900 3117.75000 -401630.00000 -70569.00000 -227497.00000 466949.00000 
0.41869 -2699.06000 1658.87000 422.91700 3196.19000 -478784.00000 -84415.90000 -230699.00000 538128.00000 
0.42779 -2781.62000 1686.48000 494.50400 3290.31000 -561281.00000 -99199.20000 -234556.00000 616355.00000 
0.43689 -2863.72000 1713.34000 544.41000 3381.24000 -621296.00000 -110291.00000 -238305.00000 674508.00000 
0.44599 -2920.28000 1729.85000 540.77400 3436.98000 -625301.00000 -112074.00000 -240601.00000 679302.00000 
0.45510 -2980.52000 1747.62000 545.29300 3497.85000 -637790.00000 -115270.00000 -243073.00000 692205.00000 
0.46420 -3038.50000 1764.28000 547.34300 3555.95000 -647612.00000 -118017.00000 -245392.00000 702529.00000 
0.47330 -3095.82000 1780.53000 549.78100 3613.40000 -657742.00000 -120809.00000 -247653.00000 713128.00000 
0.48240 -3151.83000 1796.13000 551.86100 3669.42000 -667372.00000 -123506.00000 -249824.00000 723223.00000 
0.49150 -3206.55000 1811.14000 553.79700 3724.10000 -676706.00000 -126138.00000 -251913.00000 733009.00000 
0.50060 -3259.82000 1825.53000 555.54600 3777.25000 -685678.00000 -128692.00000 -253915.00000 742421.00000 
0.50971 -3311.51000 1839.28000 557.13500 3828.76000 -694295.00000 -131163.00000 -255829.00000 751463.00000 
0.51881 -3361.50000 1852.39000 558.57019 3878.53000 -702543.00000 -133547.00000 -257653.00000 760122.00000 
0.52791 -3409.67000 1864.85000 559.86400 3926.44000 -710414.00000 -135839.00000 -259387.00000 768389.00000 
0.53701 -3455.90000 1876.65000 561.02500 3972.38000 -717902.00000 -138034.00000 -261028.00000 776255.00000 
0.54611 -3500.07000 1887.78000 562.06300 4016.23000 -724996.00000 -140127.00000 -262577.00000 783710.00000 
0.55522 -3542.08000 1898.23000 562.98800 4057.90000 -731690.00000 -142114.00000 -264032.00000 790746.00000 
0.56432 -3581.82000 1908.01000 563.80700 4097.29000 -737975.00000 -143990.00000 -265393.00000 797355.00000 
0.57342 -3619.19000 1917.10000 564.52900 4134.31000 -743846.00000 -145752.00000 -266658.00000 803528.00000 
0.58252 -3654.08000 1925.51000 565.16100 4168.85000 -749294.00000 -147396.00000 -267829.00000 809259.00000 
0.59162 -3686.42000 1933.23000 565.71200 4200.85000 -754317.00000 -148918.00000 -268903.00000 814543.00000 
0.60073 -3716.10000 1940.26000 566.17600 4230.20000 -758895.00000 -150312.00000 -269881.00000 819360.00000 
0.60983 -3743.11000 1946.61000 566.60900 4256.90000 -763076.00000 -151586.00000 -270765.00000 823757.00000 
0.61893 -3767.12000 1952.20000 566.83300 4280.60000 -766657.00000 -152701.00000 -271543.00000 827536.00000 
0.62803 -3789.01000 1957.38000 567.53241 4302.33000 -770367.00000 -153782.00000 -272263.00000 831410.00000 
0.63713 -3805.19000 1960.78000 566.18700 4317.95000 -771475.00000 -154354.00000 -272737.00000 832697.00000 
0.64624 -3828.93000 1967.57000 572.21300 4342.75000 -780152.00000 -156181.00000 -273683.00000 841387.00000 
0.65534 -3801.91000 1955.19000 544.82800 4309.77000 -752274.00000 -151598.00000 -271955.00000 814161.00000 
0.66444 -3711.63000 1918.84000 475.97287 4205.32000 -679076.00000 -139072.00000 -266884.00000 742773.00000 
0.67354 -3630.05000 1886.29000 415.46200 4111.93000 -614515.00000 -127987.00000 -262345.00000 680320.00000 
0.68264 -3542.66000 1851.86000 352.63100 4013.00000 -547128.00000 -116362.00000 -257542.00000 615806.00000 
0.69175 -3454.78000 1817.52000 290.69100 3914.51000 -480457.00000 -104825.00000 -252753.00000 552912.00000 
0.70085 -3363.80000 1782.19000 227.43700 3813.54000 -412181.00000 -92981.80000 -247825.00000 489853.00000 
0.70995 -3278.37000 1749.13000 168.47400 3719.62000 -348426.00000 -81906.50000 -243215.00000 432738.00000 
0.71905 -3169.41000 1707.07000 93.60860 3601.11000 -267365.00000 -67809.50000 -237347.00000 363890.00000 
0.72815 -3169.45000 1707.16000 93.64170 3601.19000 -267407.00000 -67817.50000 -237361.00000 363931.00000 
0.73725 -3278.48000 1749.42000 168.57400 3719.86000 -348550.00000 -81930.40000 -243254.00000 432865.00000 
0.74636 -3363.99000 1782.65000 227.60400 3813.93000 -412386.00000 -93020.50000 -247889.00000 490065.00000 
0.75546 -3455.03000 1818.15000 290.92800 3915.04000 -480737.00000 -104877.00000 -252840.00000 553205.00000 
0.76456 -3542.97000 1852.63000 352.93900 4013.66000 -547475.00000 -116424.00000 -257650.00000 616171.00000 
0.77366 -3630.42000 1887.19000 415.84300 4112.70000 -614919.00000 -128056.00000 -262470.00000 680746.00000 
0.78276 -3712.03000 1919.83000 476.42700 4206.17000 -679526.00000 -139145.00000 -267022.00000 743248.00000 
0.79187 -3802.33000 1956.24000 545.35321 4310.68000 -752757.00000 -151670.00000 -272101.00000 814669.00000 
0.80097 -3829.36000 1968.65000 572.80400 4343.70000 -780653.00000 -156250.00000 -273833.00000 841914.00000 
0.81007 -3805.61000 1961.86000 566.83700 4318.90000 -771980.00000 -154416.00000 -272887.00000 833226.00000 
0.81917 -3789.42000 1958.43000 568.23300 4303.26000 -770866.00000 -153835.00000 -272409.00000 831929.00000 
0.82827 -3767.50000 1953.19000 567.57500 4281.49000 -767138.00000 -152743.00000 -271681.00000 828035.00000 
0.83737 -3743.46000 1947.53000 567.37800 4257.73000 -763531.00000 -151616.00000 -270893.00000 824227.00000 
0.84648 -3716.41000 1941.09000 566.96200 4230.96000 -759317.00000 -150330.00000 -269997.00000 819793.00000 
0.85558 -3686.70000 1933.97000 566.50000 4201.53000 -754702.00000 -148924.00000 -269006.00000 814934.00000 
0.86468 -3654.32000 1926.15000 565.94000 4169.46000 -749638.00000 -147391.00000 -267918.00000 809606.00000 
0.87378 -3619.38000 1917.64000 565.28800 4134.83000 -744149.00000 -145738.00000 -266734.00000 803831.00000 
0.88289 -3581.98000 1908.45000 564.53600 4097.74000 -738237.00000 -143968.00000 -265455.00000 797613.00000 
0.89199 -3542.21000 1898.59000 563.68000 4058.27000 -731912.00000 -142085.00000 -264081.00000 790963.00000 
0.90109 -3500.17000 1888.05000 562.71100 4016.53000 -725181.00000 -140093.00000 -262615.00000 783888.00000 
0.91019 -3455.97000 1876.84000 561.62400 3972.61000 -718053.00000 -137996.00000 -261056.00000 776398.00000 
0.91929 -3409.71000 1864.98000 560.41200 3926.62000 -710536.00000 -135800.00000 -259405.00000 768501.00000 
0.92839 -3361.53000 1852.47000 559.06665 3878.67000 -702637.00000 -133507.00000 -257664.00000 760206.00000 
0.93750 -3311.53000 1839.31000 557.57900 3828.86000 -694366.00000 -131123.00000 -255833.00000 751524.00000 
0.94660 -3259.83000 1825.52000 555.93900 3777.31000 -685731.00000 -128653.00000 -253914.00000 742462.00000 
