Time(s) Force[Z](Cylindrical:11)-ArfadaCaso3.iaa(N) Force[Y](Cylindrical:11)-ArfadaCaso3.iaa(N) Force[X](Cylindrical:11)-ArfadaCaso3.iaa(N) Force(Cylindrical:11)-ArfadaCaso3.iaa(N) Moment[Z](Cylindrical:11)-ArfadaCaso3.iaa(N.mm) Moment[Y](Cylindrical:11)-ArfadaCaso3.iaa(N.mm) Moment[X](Cylindrical:11)-ArfadaCaso3.iaa(N.mm) Moment(Cylindrical:11)-ArfadaCaso3.iaa(N.mm) 
0.00000 -2778.54000 1359.68000 -74.05400 3094.27000 32275.90000 6576.71000 -53027.60000 62425.20000 
0.00635 -2807.39000 1391.20000 -72.99030 3134.04000 30592.20000 6124.35000 -54259.00000 62589.40000 
0.01270 -2836.40000 1422.82000 -71.93280 3174.08000 28946.00000 5682.04000 -55509.00000 62860.20000 
0.01905 -2865.68000 1454.67000 -70.88750 3214.53000 27377.20000 5260.63000 -56797.20000 63270.10000 
0.02540 -2895.33000 1486.85000 -69.86460 3255.54000 25932.00000 4872.67000 -58144.90000 63851.70000 
0.03175 -2925.56000 1519.52000 -68.87790 3297.36000 24661.10000 4531.85000 -59576.40000 64637.90000 
0.03810 -2956.35000 1552.70000 -67.94622 3339.98000 23626.10000 4254.97000 -61111.50000 65657.50000 
0.04445 -2988.67000 1587.01000 -67.08900 3384.56000 22875.60000 4054.95000 -62796.10000 66955.80000 
0.05080 -3019.67000 1620.76000 -66.33330 3427.78000 22525.80000 3964.34000 -64586.10000 68516.30000 
0.05715 -3022.38000 1623.93000 -66.68210 3431.68000 24142.90000 4401.83000 -65293.70000 69753.30000 
0.06350 -3027.91000 1629.21000 -67.09920 3439.05000 26072.50000 4923.04000 -66218.00000 71336.10000 
0.06985 -3033.77000 1635.03000 -67.58950 3446.98000 28354.60000 5539.40000 -67298.50000 73237.70000 
0.07620 -3040.67000 1641.79000 -68.15260 3456.27000 30977.30000 6247.29000 -68554.20000 75487.10000 
0.08255 -3048.36000 1649.36000 -68.78630 3466.64000 33939.10000 7046.26000 -69982.60000 78096.60000 
0.08890 -3056.90000 1657.74000 -69.48980 3478.15000 37236.30000 7935.05000 -71587.50000 81081.90000 
0.09525 -3066.23000 1666.91000 -70.26130 3490.74000 40864.80000 8912.42000 -73371.10000 84455.20000 
