Time(s) Force[Z](Cylindrical:11)-CabeceoCaso2.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso2.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso2.iaa(N) Force(Cylindrical:11)-CabeceoCaso2.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso2.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso2.iaa(N.mm) 
0.00000 -2741.74000 1353.83000 69.32300 3058.56000 -17666.90000 -2488.55000 -52799.50000 55732.40000 
0.01532 -3135.34000 1376.65000 75.74610 3425.09000 -21252.50000 -3291.61000 -53689.40000 57836.50000 
0.03064 -3527.76000 1399.31000 82.15440 3796.04000 -24830.60000 -4091.42000 -54573.20000 60096.00000 
0.04596 -3917.89000 1421.66000 88.52970 4168.79000 -28386.50000 -4881.90000 -55444.60000 62479.90000 
0.06128 -4304.49000 1443.52000 94.84730 4541.07000 -31895.80000 -5653.58000 -56297.20000 64951.40000 
0.07660 -4686.85000 1464.76000 101.08700 4911.45000 -35331.20000 -6395.11000 -57125.60000 67472.40000 
0.09192 -5062.35000 1485.12000 107.19200 5276.79000 -38639.70000 -7088.37000 -57919.60000 69985.30000 
0.10724 -5435.74000 1504.77000 113.22300 5641.32000 -41827.70000 -7727.59000 -58685.90000 72479.70000 
0.12257 -5784.22000 1522.27000 118.78600 5982.36000 -44646.60000 -8250.48000 -59368.50000 74739.60000 
0.13789 -5732.33000 1515.64000 117.80400 5930.48000 -43783.70000 -7941.46000 -59109.90000 73986.90000 
0.15321 -5686.05000 1508.53000 116.88800 5883.92000 -42894.70000 -7605.25000 -58832.60000 73205.70000 
0.16853 -5626.99000 1499.85000 115.73900 5824.60000 -41822.10000 -7210.86000 -58494.30000 72268.00000 
0.18385 -5560.12000 1489.90000 114.44100 5757.42000 -40617.60000 -6772.87000 -58106.00000 71217.80000 
0.19917 -5484.13000 1478.57000 112.97400 5681.08000 -39279.00000 -6294.69000 -57664.30000 70054.50000 
0.21449 -5399.41000 1465.89000 111.34800 5595.96000 -37819.70000 -5783.30000 -57169.60000 68790.60000 
0.22981 -5305.88000 1451.82000 109.56500 5502.02000 -36250.20000 -5245.30000 -56621.20000 67435.50000 
0.24513 -5203.62000 1436.37000 107.63000 5399.29000 -34582.80000 -4687.79000 -56018.60000 66000.20000 
0.26045 -5092.63000 1419.52000 105.54500 5287.82000 -32830.80000 -4118.07000 -55361.10000 64495.50000 
0.27577 -4972.97000 1401.24000 103.31700 5167.64000 -31008.00000 -3543.51000 -54648.30000 62932.40000 
0.29109 -4844.65000 1381.52000 100.94800 5038.79000 -29129.10000 -2971.50000 -53879.20000 61321.30000 
0.30642 -4707.72000 1360.34000 98.44442 4901.30000 -27209.40000 -2409.28000 -53053.10000 59672.30000 
0.32174 -4562.20000 1337.67000 95.80970 4755.23000 -25264.80000 -1863.89000 -52169.10000 57994.80000 
0.33706 -4408.12000 1313.49000 93.04880 4600.59000 -23311.80000 -1342.02000 -51226.30000 56297.20000 
0.35238 -4245.52000 1287.78000 90.16642 4437.45000 -21367.20000 -849.88200 -50223.50000 54586.50000 
0.36770 -4074.42000 1260.51000 87.16710 4265.84000 -19448.50000 -393.16600 -49159.70000 52868.50000 
