Time(s) Force[Z](Cylindrical:11)-BalanceoCaso1.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso1.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso1.iaa(N) Force(Cylindrical:11)-BalanceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso1.iaa(N.mm) 
0.00000 3136.81000 349.58300 -11.60590 3156.25000 44705.20000 -707.57312 -13633.70000 46743.20000 
0.00910 3112.57000 351.24100 -67.45260 3133.05000 72647.40000 -3044.94000 -13698.40000 73990.30000 
0.01820 3088.35000 352.91100 -123.30000 3110.89000 100586.00000 -5382.30000 -13763.60000 101666.00000 
0.02731 3064.17000 354.60200 -179.15400 3089.82000 128521.00000 -7719.94000 -13829.50000 129493.00000 
0.03641 3040.13000 356.31900 -235.00700 3069.95000 156448.00000 -10057.40000 -13896.40000 157385.00000 
0.04551 3016.27000 358.07019 -290.92500 3051.35000 184400.00000 -12397.70000 -13964.70000 185343.00000 
0.05461 2992.81000 359.85200 -346.69900 3034.24000 212275.00000 -14731.80000 -14034.20000 213248.00000 
0.06371 2969.44000 361.70000 -403.17000 3018.43000 240496.00000 -17095.10000 -14106.30000 241516.00000 
0.07282 2948.01000 363.48600 -457.25946 3005.33000 267530.00000 -19358.80000 -14176.00000 268604.00000 
0.08192 2951.02000 363.64209 -455.80300 3008.08000 266726.00000 -19297.40000 -14182.00000 267799.00000 
0.09102 2953.39000 363.92000 -456.44400 3010.53000 266953.00000 -19323.70000 -14192.90000 268027.00000 
0.10012 2956.53000 364.21000 -456.56400 3013.67000 266897.00000 -19328.00000 -14204.20000 267973.00000 
0.10922 2960.06000 364.53400 -456.86100 3017.21000 266908.00000 -19339.60000 -14216.80000 267985.00000 
0.11832 2964.08000 364.87900 -457.14386 3021.24000 266888.00000 -19350.50000 -14230.30000 267966.00000 
0.12743 2968.56000 365.23800 -457.46000 3025.73000 266857.00000 -19362.60000 -14244.30000 267938.00000 
0.13653 2973.52000 365.60200 -457.79300 3030.68000 266806.00000 -19375.20000 -14258.50000 267888.00000 
0.14563 2978.93000 365.96400 -458.14100 3036.09000 266730.00000 -19388.20000 -14272.60000 267815.00000 
0.15473 2984.81000 366.31300 -458.49900 3041.95000 266625.00000 -19401.40000 -14286.20000 267712.00000 
0.16383 2991.14000 366.64000 -458.86300 3048.26000 266486.00000 -19414.60000 -14299.00000 267574.00000 
0.17294 2997.93000 366.93400 -459.22700 3055.01000 266306.00000 -19427.50000 -14310.40000 267397.00000 
0.18204 3005.17000 367.18400 -459.58700 3062.20000 266079.00000 -19440.00000 -14320.20000 267172.00000 
0.19114 3012.85000 367.37900 -459.93500 3069.81000 265799.00000 -19451.60000 -14327.80000 266895.00000 
0.20024 3020.96000 367.50900 -460.26700 3077.84000 265461.00000 -19462.20000 -14332.90000 266559.00000 
0.20934 3029.51000 367.56200 -460.57600 3086.28000 265056.00000 -19471.40000 -14334.90000 266157.00000 
0.21845 3038.47000 367.52700 -460.85500 3095.12000 264579.00000 -19479.00000 -14333.60000 265682.00000 
0.22755 3047.84000 367.39300 -461.09900 3104.34000 264022.00000 -19484.70000 -14328.40000 265127.00000 
0.23665 3057.61000 367.14975 -461.29600 3113.94000 263376.00000 -19488.00000 -14318.80000 264484.00000 
0.24575 3067.77000 366.78500 -461.45900 3123.89000 262644.00000 -19489.30000 -14304.60000 263754.00000 
0.25485 3078.29000 366.29100 -461.50600 3134.17000 261781.00000 -19485.20000 -14285.30000 262894.00000 
0.26395 3089.15000 365.65800 -461.70500 3144.80000 260922.00000 -19487.00000 -14260.60000 262037.00000 
0.27306 3100.47000 364.86200 -461.02000 3155.72000 259528.00000 -19451.10000 -14229.60000 260645.00000 
0.28216 3111.35000 363.98941 -463.29200 3166.65000 259581.00000 -19538.70000 -14195.60000 260702.00000 
0.29126 3126.61000 362.51100 -453.65600 3180.08000 253394.00000 -19126.30000 -14137.90000 254507.00000 
0.30036 3149.11000 360.00700 -391.29300 3193.68000 219773.00000 -16502.50000 -14040.30000 220839.00000 
0.30946 3166.76000 357.96100 -335.01651 3204.49000 189169.00000 -14133.30000 -13960.50000 190209.00000 
0.31857 3182.84000 356.02100 -276.87400 3214.63000 157480.00000 -11685.70000 -13884.80000 158522.00000 
0.32767 3196.04000 354.34100 -219.02597 3223.07000 125845.00000 -9250.22000 -13819.30000 126939.00000 
0.33677 3206.62000 352.90300 -160.92600 3229.99000 93999.60000 -6804.22000 -13763.20000 95245.20000 
0.34587 3214.36000 351.73900 -102.75600 3235.18000 62060.40000 -4355.55000 -13717.80000 63707.50000 
0.35497 3219.22000 350.86000 -44.50710 3238.59000 30045.40000 -1903.97000 -13683.60000 33069.50000 
0.36408 3221.17000 350.27500 13.77564 3240.19000 -1998.36000 548.41510 -13660.70000 13817.00000 
0.37318 3220.19000 349.98700 72.06320 3239.96000 -34032.00000 3000.21000 -13649.50000 36789.80000 
0.38228 3216.31000 349.98999 130.31200 3237.92000 -66009.40000 5449.43000 -13649.60000 67625.80000 
0.39138 3209.56000 350.27800 188.52100 3234.12000 -97906.50000 7895.81000 -13660.80000 99169.80000 
0.40048 3200.08000 350.83000 246.54300 3228.68000 -129625.00000 10333.10000 -13682.40000 130754.00000 
0.40959 3187.79000 351.64200 304.77700 3221.57000 -161353.00000 12777.80000 -13714.00000 162438.00000 
0.41869 3173.32000 352.65000 361.60000 3213.26000 -192227.00000 15162.00000 -13753.40000 193314.00000 
0.42779 3155.65000 353.90600 422.95100 3203.47000 -225312.00000 17734.00000 -13802.30000 226430.00000 
0.43689 3137.07000 355.33200 465.06800 3191.20000 -248290.00000 19499.70000 -13857.90000 249440.00000 
0.44599 3126.97000 356.17800 459.44162 3180.55000 -246476.00000 19267.00000 -13890.90000 247618.00000 
0.45510 3117.14000 356.80900 461.22300 3171.22000 -248419.00000 19343.80000 -13915.50000 249559.00000 
0.46420 3107.38000 357.33500 460.91800 3161.64000 -249210.00000 19333.00000 -13936.10000 250347.00000 
0.47330 3098.03000 357.71300 461.07373 3152.51000 -250169.00000 19341.20000 -13950.80000 251303.00000 
0.48240 3088.94000 357.97100 461.02000 3143.61000 -250952.00000 19340.20000 -13960.90000 252083.00000 
0.49150 3080.20000 358.11200 460.94400 3135.02000 -251659.00000 19338.00000 -13966.40000 252787.00000 
0.50060 3071.79000 358.15000 460.80600 3126.74000 -252273.00000 19332.90000 -13967.80000 253398.00000 
0.50971 3063.73000 358.09200 460.62500 3118.79000 -252806.00000 19325.80000 -13965.60000 253928.00000 
0.51881 3056.03000 357.95100 460.40500 3111.18000 -253264.00000 19316.90000 -13960.10000 254383.00000 
0.52791 3048.71000 357.73700 460.15271 3103.92000 -253653.00000 19306.40000 -13951.80000 254769.00000 
0.53701 3041.76000 357.46100 459.87500 3097.03000 -253980.00000 19294.70000 -13941.00000 255093.00000 
0.54611 3035.20000 357.13400 459.57700 3090.50000 -254251.00000 19282.00000 -13928.20000 255362.00000 
0.55522 3029.03000 356.76700 459.26500 3084.35000 -254473.00000 19268.60000 -13913.90000 255581.00000 
0.56432 3023.25000 356.36900 458.94400 3078.59000 -254652.00000 19254.80000 -13898.40000 255756.00000 
0.57342 3017.88000 355.95200 458.62100 3073.21000 -254792.00000 19240.80000 -13882.10000 255894.00000 
0.58252 3012.91000 355.52600 458.29900 3068.24000 -254899.00000 19226.80000 -13865.50000 255999.00000 
0.59162 3008.35000 355.10000 457.98500 3063.66000 -254981.00000 19213.20000 -13848.90000 256078.00000 
0.60073 3004.20000 354.68300 457.67300 3059.49000 -255035.00000 19199.60000 -13832.60000 256130.00000 
0.60983 3000.44000 354.28500 457.41000 3055.72000 -255088.00000 19188.10000 -13817.10000 256182.00000 
0.61893 2997.16000 353.90900 457.03600 3052.40000 -255063.00000 19172.00000 -13802.50000 256154.00000 
0.62803 2994.07000 353.57800 457.16330 3049.34000 -255267.00000 19176.90000 -13789.60000 256358.00000 
0.63713 2992.18000 353.25000 455.53000 3047.21000 -254571.00000 19108.40000 -13776.80000 255659.00000 
0.64624 2987.89000 353.09200 460.57800 3043.73000 -257200.00000 19318.30000 -13770.60000 258292.00000 
0.65534 2996.18000 352.48400 435.74700 3048.15000 -244871.00000 18284.30000 -13746.90000 245937.00000 
