Time(s) Force[Z](Cylindrical:11)-ArfadaCaso2.iaa(N) Force[Y](Cylindrical:11)-ArfadaCaso2.iaa(N) Force[X](Cylindrical:11)-ArfadaCaso2.iaa(N) Force(Cylindrical:11)-ArfadaCaso2.iaa(N) Moment[Z](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment[Y](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment[X](Cylindrical:11)-ArfadaCaso2.iaa(N.mm) Moment(Cylindrical:11)-ArfadaCaso2.iaa(N.mm) 
0.00000 9371.28000 -1263.11000 -45.25970 9456.13000 -106936.00000 31077.40000 49261.20000 121769.00000 
0.00635 9575.49000 -1290.52000 -45.99210 9662.17000 -109387.00000 31801.30000 50332.50000 124540.00000 
0.01270 9779.67000 -1317.94000 -46.72430 9868.19000 -111826.00000 32521.70000 51417.10000 127305.00000 
0.01905 9983.91000 -1345.37000 -47.46040 10074.30000 -114245.00000 33234.50000 52529.80000 130061.00000 
0.02540 10188.20000 -1372.83000 -48.20690 10280.40000 -116629.00000 33935.30000 53685.90000 132801.00000 
0.03175 10392.90000 -1400.35000 -48.97320 10486.90000 -118970.00000 34620.40000 54903.80000 135525.00000 
0.03810 10597.20000 -1427.85000 -49.76930 10693.10000 -121245.00000 35281.80000 56197.50000 138215.00000 
0.04445 10804.30000 -1455.73000 -50.61390 10902.00000 -123475.00000 35924.80000 57601.50000 140907.00000 
0.05080 11003.60000 -1482.60000 -51.50922 11103.20000 -125516.00000 36504.50000 59080.50000 143448.00000 
0.05715 11000.50000 -1482.31000 -51.72230 11100.00000 -125041.00000 36335.00000 59599.50000 143204.00000 
0.06350 11004.90000 -1483.06000 -51.99550 11104.50000 -124562.00000 36158.50000 60277.70000 143027.00000 
0.06985 11008.00000 -1483.63000 -52.31410 11107.70000 -123971.00000 35941.80000 61066.90000 142792.00000 
0.07620 11012.10000 -1484.34000 -52.68020 11111.80000 -123295.00000 35693.40000 61979.70000 142538.00000 
0.08255 11016.60000 -1485.09000 -53.09280 11116.30000 -122527.00000 35410.80000 63012.50000 142258.00000 
0.08890 11021.50000 -1485.88000 -53.55106 11121.30000 -121670.00000 35094.40000 64165.90000 141959.00000 
0.09525 11026.90000 -1486.71000 -54.05430 11126.80000 -120721.00000 34743.80000 65439.50000 141644.00000 
0.10160 11032.70000 -1487.55000 -54.60170 11132.70000 -119682.00000 34358.70000 66832.70000 141319.00000 
0.10795 11038.90000 -1488.39000 -55.19230 11138.90000 -118552.00000 33938.80000 68345.10000 140987.00000 
0.11430 11045.50000 -1489.20000 -55.82530 11145.60000 -117331.00000 33483.80000 69975.80000 140657.00000 
0.12065 11052.50000 -1489.97000 -56.49970 11152.60000 -116018.00000 32993.40000 71724.10000 140332.00000 
0.12700 11059.80000 -1490.68000 -57.21480 11159.90000 -114615.00000 32467.10000 73589.00000 140021.00000 
0.13335 11067.40000 -1491.30000 -57.96970 11167.60000 -113119.00000 31904.60000 75569.10000 139730.00000 
0.13970 11075.30000 -1491.80000 -58.76350 11175.50000 -111532.00000 31305.50000 77663.10000 139467.00000 
0.14605 11083.40000 -1492.17000 -59.59560 11183.60000 -109853.00000 30669.30000 79869.10000 139238.00000 
0.15240 11091.80000 -1492.38000 -60.46530 11191.90000 -108081.00000 29995.60000 82185.30000 139053.00000 
0.15875 11100.40000 -1492.39000 -61.37210 11200.40000 -106217.00000 29283.80000 84609.10000 138918.00000 
0.16510 11109.10000 -1492.17000 -62.31530 11209.10000 -104260.00000 28533.40000 87137.90000 138843.00000 
0.17145 11118.00000 -1491.71000 -63.29560 11217.80000 -102210.00000 27744.10000 89769.10000 138835.00000 
0.17780 11126.80000 -1490.93000 -64.30980 11226.40000 -100065.00000 26914.50000 92496.80000 138899.00000 
0.18415 11136.50000 -1489.93000 -65.36790 11235.90000 -97833.40000 26046.40000 95325.90000 139057.00000 
0.19050 11143.10000 -1488.18000 -66.43910 11242.20000 -95479.60000 25130.20000 98218.40000 139265.00000 
0.19685 11160.80000 -1487.50000 -67.61640 11259.70000 -93133.30000 24199.20000 101295.00000 139714.00000 
0.20320 11136.10000 -1480.77000 -68.63850 11234.30000 -90301.70000 23118.30000 104061.00000 139706.00000 
0.20955 10916.80000 -1447.88000 -68.17220 11012.60000 -85726.60000 21595.30000 105014.00000 137271.00000 
0.21590 10718.40000 -1417.45000 -67.59960 10811.90000 -81369.00000 20144.20000 106096.00000 135215.00000 
0.22225 10513.30000 -1385.83000 -66.83287 10604.40000 -76986.10000 18697.80000 107025.00000 133157.00000 
0.22860 10308.70000 -1354.01000 -65.87090 10397.40000 -72659.20000 17283.70000 107851.00000 131187.00000 
0.23495 10102.90000 -1321.77000 -64.70960 10189.20000 -68382.50000 15902.50000 108539.00000 129266.00000 
0.24130 9896.55000 -1289.23000 -63.34270 9980.37000 -64171.90000 14561.70000 109077.00000 127389.00000 
0.24765 9689.64000 -1256.44000 -61.76810 9770.96000 -60035.80000 13266.60000 109453.00000 125540.00000 
0.25400 9482.39000 -1223.44000 -59.98391 9561.18000 -55983.10000 12022.20000 109656.00000 123706.00000 
0.26035 9274.97000 -1190.32000 -57.98970 9351.22000 -52021.20000 10833.20000 109678.00000 121872.00000 
0.26670 9067.62000 -1157.14000 -55.78680 9141.33000 -48156.60000 9703.39000 109514.00000 120027.00000 
0.27305 8860.45000 -1123.97000 -53.37521 8931.61000 -44393.80000 8636.39000 109159.00000 118157.00000 
0.27940 8654.05000 -1090.92000 -50.76540 8722.68000 -40739.80000 7635.25000 108617.00000 116257.00000 
0.28575 8447.20000 -1057.89000 -47.93760 8513.32000 -37188.20000 6701.73000 107871.00000 114298.00000 
0.29210 8245.70000 -1025.67000 -44.97790 8309.37000 -33776.90000 5840.33000 106996.00000 112352.00000 
0.29845 8027.99000 -991.59100 -41.63290 8089.10000 -30386.00000 5041.67000 105710.00000 110106.00000 
0.30480 7885.19000 -967.00400 -38.80100 7944.35000 -27463.30000 4350.14000 105233.00000 108844.00000 
0.31115 7919.43000 -964.37200 -37.96384 7978.02000 -25507.80000 3753.67000 107008.00000 110070.00000 
0.31750 7924.46000 -958.13600 -36.92590 7982.26000 -23460.40000 3156.98000 108289.00000 110846.00000 
0.32385 7938.42000 -952.99700 -35.96940 7995.50000 -21480.50000 2578.45000 109595.00000 111710.00000 
