Time(s) Force[Z](Cylindrical:11)-CabeceoCaso3.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso3.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso3.iaa(N) Force(Cylindrical:11)-CabeceoCaso3.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso3.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso3.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso3.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso3.iaa(N.mm) 
0.00000 -3201.47000 1718.49000 -76.19180 3634.34000 266472.00000 69889.20000 -238870.00000 364624.00000 
0.01532 -3624.86000 1759.82000 -84.83480 4030.36000 284161.00000 74026.90000 -244615.00000 382183.00000 
0.03064 -4046.91000 1800.83000 -93.45760 4430.48000 301779.00000 78126.30000 -250316.00000 399790.00000 
0.04596 -4466.28000 1841.18000 -102.03300 4831.98000 319242.00000 82141.10000 -255924.00000 417324.00000 
0.06128 -4881.50000 1880.46000 -110.52300 5232.34000 336441.00000 86015.00000 -261384.00000 434641.00000 
0.07660 -5291.61000 1918.32000 -118.89400 5629.86000 353270.00000 89688.60000 -266647.00000 451602.00000 
0.09192 -5693.57000 1954.17000 -127.05900 6020.93000 369523.00000 93075.00000 -271630.00000 467967.00000 
0.10724 -6092.19000 1988.16000 -135.08900 6409.82000 385303.00000 96156.90000 -276354.00000 483814.00000 
0.12257 -6462.79000 2017.54000 -142.44400 6771.88000 399480.00000 98631.80000 -280438.00000 497954.00000 
0.13789 -6402.03000 2003.17000 -140.97700 6709.58000 395440.00000 96714.00000 -278441.00000 493209.00000 
0.15321 -6346.28000 1987.47000 -139.57000 6651.67000 391308.00000 94579.70000 -276259.00000 488248.00000 
0.16853 -6275.97000 1968.59000 -137.82800 6578.92000 386299.00000 92065.50000 -273635.00000 482264.00000 
0.18385 -6196.50000 1947.10000 -135.86734 6496.63000 380660.00000 89243.40000 -270646.00000 475517.00000 
0.19917 -6106.61000 1922.91000 -133.66800 6403.60000 374369.00000 86126.90000 -267284.00000 467986.00000 
0.21449 -6006.82000 1896.13000 -131.24800 6300.35000 367479.00000 82747.40000 -263561.00000 459731.00000 
0.22981 -5897.22000 1866.82000 -128.61528 6186.98000 360026.00000 79134.10000 -259488.00000 450794.00000 
0.24513 -5777.99000 1835.07000 -125.78100 6063.70000 352055.00000 75318.80000 -255075.00000 441224.00000 
0.26045 -5649.31000 1800.95000 -122.75800 5930.70000 343610.00000 71333.40000 -250332.00000 431071.00000 
